"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"13",0.502977,0.0439453,0.471261,0.0746191173253186,0,-Inf,NA,NA,0.287685,0,0.132602,0.0989328594729036,99,0.287685,0.132602,0.148991060606061,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.646,106.76,108.135,108.111705208333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-13
"14",0.597721,0.0439453,0.469208,0.0785079504502059,0,-Inf,NA,NA,0.296015,0,0.132146,0.100936677366522,77,0.296015,0.132146,0.145219636363636,NA,NA,NA,0,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,110.126,106.924,108.133,108.244136038466,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-14
"15",2.01335,0,0.514367,0.0811451629183131,0,-Inf,NA,NA,0.270897,0,0.132026,0.0995976433462733,92,0.270897,0.132026,0.140131673913043,NA,NA,NA,2,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.052,93.9565,107.99,107.547580497685,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-15
"16",0.460902,0.0439453,0.3019405,0.0800528696300416,0,-Inf,NA,NA,0.269718,0.0225203,0.134216,0.101240626765451,94,0.269718,0.134216,0.141895234042553,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.953,106.504,107.971,107.89132650463,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-16
"17",2.87498,0,0.473305,0.0754433141025602,0,-Inf,NA,NA,0.295692,0,0.129898,0.095450089101774,85,0.295692,0.129898,0.142848635294118,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,110.089,107.036,108.0835,108.193490277778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-17
"18",0.499123,0,0.462993,0.0750569416607601,0,-Inf,NA,NA,0.276672,0,0.1299815,0.0957783293671837,84,0.276672,0.1299815,0.142582821428571,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,110.106,107.246,107.869,108.124029861111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-18
"19",0.487377,0,0.475341,0.0720900638419491,0,-Inf,NA,NA,0.275552,0,0.129775,0.0936586069060559,92,0.275552,0.129775,0.140788054347826,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.986,107.193,107.788,107.932789467593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-19
"20",0.514367,0.0439453,0.485392,0.0723031692437953,0,-Inf,NA,NA,0.276832,0.0260101,0.132853,0.0953553520288852,86,0.276832,0.132853,0.145727,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.832,107.449,108.011,108.277709837963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-20
"21",8.64528,0.0439453,0.514367,0.08299349114981,0,-Inf,NA,NA,0.298382,0.0247033,0.132494,0.098678511875674,95,0.298382,0.132494,0.146729410526316,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.926,107.218,107.897,108.004308680556,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-21
"22",0.538218,0.0439453,0.523669,0.0778964707795743,0,-Inf,NA,NA,0.282519,0,0.1317,0.100259316699856,110,0.282519,0.1317,0.138021927272727,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.743,106.871,108.096,108.183700347222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-22
"23",0.489354,0.0439453,0.489354,0.0847346708643629,0,-Inf,NA,NA,0.279881,0,0.130365,0.0998213165277778,106,0.279881,0.130365,0.135392141509434,NA,NA,NA,NA,"(75,80]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.879,106.658,108.023,108.113646527778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-23
"24",0.519968,0.0439453,0.4932815,0.0803811898631702,0,-Inf,NA,NA,0.391189,0,0.132272,0.100018681475257,51,0.391189,0.132272,0.13980668627451,NA,NA,NA,NA,"(70,75]","(55,60]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.29,106.094,107.977,108.02587037037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-24
"25",0.530993,0.0439453,0.530993,0.0790848181807673,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(75,80]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.921,106.867,108.157,108.154570717593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-25
"26",2.75176,0,0.512486,0.0809056450449183,0,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.206,93.7517,107.939,106.924571342593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-26
"27",0.516241,0.0439453,0.489354,0.078924771987631,0,-Inf,NA,NA,0.221086,0.0920221,0.1373445,0.126466247348485,132,0.221086,0.1373445,0.140907992424242,NA,NA,NA,NA,"(80,85]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.113,107.36,108.363,108.364558037264,"0","0","20","1","0","0","0","0","0","0","0","0","0","0",2015-05-27
"28",0.88329,0,0.7071415,0.0759493158138329,0,-Inf,NA,NA,0.17586,0.0920221,0.135991,0.126541887462462,111,0.17586,0.135991,0.138302684684685,NA,NA,NA,4,"(80,85]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.566,93.0237,107.1065,102.321046614885,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-28
"29",0.499123,0.0439453,0.3549385,0.0772939391822403,0,-Inf,NA,NA,0.280957,0.0868134,0.136403,0.125991943869732,174,0.280957,0.136403,0.139483534482759,NA,NA,NA,NA,"(75,80]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.814,106.768,107.9625,108.27554375,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-29
"30",4.21692,0,0.497184,0.0781246870333605,0,-Inf,NA,NA,0.306142,0.0953816,0.140156,0.128097494053819,192,0.306142,0.140156,0.14309790625,NA,NA,NA,NA,"(75,80]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.297,107.816,108.656,108.692397222222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-05-31
