"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"13",0.545347,0.0439453,0.158447,0.094814076085272,0,-Inf,NA,NA,0.246077,0.114807,0.153503,0.140794075757576,55,0.246077,0.153503,0.155733618181818,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.474,105.255,106.5305,106.581672916667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-13
"14",0.481397,0.0439453,0.298052,0.092096956056954,0,-Inf,NA,NA,0.258575,0.101533,0.150353,0.137326499217527,213,0.258575,0.150353,0.151446845070423,NA,NA,NA,NA,"(80,85]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.897,105.397,106.8535,106.847063773148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-14
"15",3.80121,0,0.443826,0.0925367565413883,0,-Inf,NA,NA,0.250854,0.104235,0.1515285,0.138551294047619,210,0.250854,0.1515285,0.153521795238095,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,109.849,105.759,106.987,107.18091875,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-15
"16",0.504893,0.0439453,0.201383,0.100089805501183,0,-Inf,NA,NA,0.323359,0.0988132,0.1500515,0.134735031786942,194,0.323359,0.1500515,0.152375711340206,NA,NA,NA,NA,"(85,90]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,109.405,105.18,107.138,107.11915787037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-16
"17",0.460902,0,0.170199,0.0936139772086907,0,-Inf,NA,NA,0.261069,0.0944506,0.1450865,0.131939238273196,194,0.261069,0.1450865,0.146936340206186,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.594,105.619,106.571,106.692540625,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-17
"18",1.06108,0.0439453,0.2915,0.0945590959630317,0,-Inf,NA,NA,0.307007,0.0979712,0.148629,0.136433047063492,210,0.307007,0.148629,0.150720561904762,NA,NA,NA,NA,"(75,80]","(50,55]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.271,105.688,106.968,106.940319907407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-18
"19",1.77095,0,0.288169,0.0927171968890271,0,-Inf,NA,NA,0.269069,0.0946064,0.141718,0.130458852548544,206,0.269069,0.141718,0.145253349514563,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.491,105.014,106.492,106.620918634259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-19
"20",0.469208,0.0439453,0.2922565,0.0966305495092343,0,-Inf,NA,NA,0.310198,0.0982152,0.151153,0.139174032165109,214,0.310198,0.151153,0.153511841121495,NA,NA,NA,NA,"(80,85]","(40,45]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.348,105.334,106.506,106.776877546296,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-20
"21",0.495239,0.0439453,0.224078,0.0897601781453817,0,-Inf,NA,NA,0.293964,0.11254,0.168502,0.156201624228395,216,0.293964,0.168502,0.169659814814815,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.408,105.002,106.441,106.529349578257,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-21
"22",0.527344,0.0439453,0.452445,0.0896356514256804,0,-Inf,NA,NA,0.240692,0.114599,0.1726355,0.159143596330275,218,0.240692,0.1726355,0.173284344036697,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.294,105.207,106.541,106.691247916667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-22
"23",0.491324,0.0439453,0.469208,0.0903796565446574,0,-Inf,NA,NA,0.288022,0.105167,0.170226,0.156591486496914,216,0.288022,0.170226,0.17002174537037,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.39,105.813,106.718,106.763911689815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-23
"24",0.460902,0.0439453,0.316894,0.0917882448018459,0,-Inf,NA,NA,0.29967,0.0354717,0.168938,0.155629826075269,217,0.29967,0.168938,0.170531013824885,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.751,105.484,106.64,106.649705471478,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-24
"25",0.508704,0.0439453,0.43725,0.0909186651103401,0,-Inf,NA,NA,0.19413,0.108391,0.167265,0.155486761584454,223,0.19413,0.167265,0.167082520179372,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.534,105.526,106.589,106.505281481481,"0","0","18","1","0","0","0","0","0","0","0","0","0","0",2015-03-25
"26",4.45411,0,0.426066,0.0979953545491143,0,-Inf,NA,NA,0.302342,0.0876575,0.1593285,0.147337304871795,130,0.302342,0.1593285,0.160253038461538,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,113.252,92.6271,105.784,101.378129549486,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-26
"27",0.501054,0,0.215287,0.0911339621666426,0,-Inf,NA,NA,0.288349,0.111686,0.170435,0.156931385185185,225,0.288349,0.170435,0.170481648888889,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.315,105.464,106.723,106.922222800926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-27
"28",0.483398,0,0.3317215,0.0628567169464502,0,-Inf,NA,NA,0.159156,0.0920221,0.133601,0.120069321828909,113,0.159156,0.133601,0.134757504424779,NA,NA,NA,NA,"(80,85]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.148,106.189,108.1085,108.035799652778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-29
"29",0.471261,0,0.240698,0.0610414219332669,0,-Inf,NA,NA,0.159083,0.0868134,0.13448,0.121995793963255,127,0.159083,0.13448,0.135184984251969,NA,NA,NA,NA,"(80,85]","(40,45]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.212,106.137,107.5415,107.935418171296,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-30
"30",0.465073,0,0.215287,0.0618999727509252,0,-Inf,NA,NA,0.168679,0.0893218,0.1340615,0.120853099470899,126,0.168679,0.1340615,0.135229873015873,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.953,106.106,108.003,107.795788657407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-03-31
