"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"13",4.39013,0,0.897389,0.0663042744628346,0,-Inf,NA,NA,0.153955,0.0745865,0.1307455,0.113446678125,32,0.153955,0.1307455,0.1309858125,NA,NA,NA,3,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,109.806,104.201,108.149,108.146197453704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-13
"14",1.35163,0,0.510598,0.0641642754821944,0,-Inf,NA,NA,0.146785,0.0864948,0.138269,0.118900548076923,26,0.146785,0.138269,0.137049576923077,NA,NA,NA,NA,"(90,95]","(55,60]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,110.824,107.261,108.588,108.646902430556,"0","0","21","1","0","0","0","0","0","0","0","0","0","0",2015-07-14
"15",6.402,0,1.23282,0.0822339811838708,1,6.402,6.402,6.402,0.156543,0.0781776,0.130195,0.109843895698925,31,0.156543,0.130195,0.13330735483871,NA,NA,NA,1,"(85,90]","(50,55]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,109.934,93.0916,108.0265,105.486058657407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-15
"16",0.602548,0,0.541794,0.06136898552828,0,-Inf,NA,NA,0.143817,0.0713574,0.1311395,0.10969137826087,46,0.143817,0.1311395,0.131016739130435,NA,NA,NA,1,"(90,95]","(55,60]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.744,105.085,108.289,108.408243518519,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-16
"17",1.75616,0,0.559332,0.0602736517551329,0,-Inf,NA,NA,0.162359,0.0306857,0.1336655,0.1137074125,60,0.162359,0.1336655,0.13400265,NA,NA,NA,NA,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.2,107.458,108.676,108.843167592593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-17
"18",4.72366,0,0.555869,0.0657510677016623,0,-Inf,NA,NA,0.165325,0.0818529,0.12988,0.120045182857143,35,0.165325,0.12988,0.132965057142857,NA,NA,NA,0,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.649,106.392,108.5725,108.677423611111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-18
"19",3.85769,0,0.559332,0.0641834945813247,0,-Inf,NA,NA,0.183119,0.0796703,0.133804,0.120595442647059,34,0.183119,0.133804,0.135290647058824,NA,NA,NA,NA,"(85,90]","(55,60]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.541,107.344,108.447,108.630473726852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-19
"20",1.36514,0,0.529172,0.0658126129749113,0,-Inf,NA,NA,0.152915,0.082575,0.132035,0.120312925675676,37,0.152915,0.132035,0.133370297297297,NA,NA,NA,NA,"(95,100]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,112.195,107.31,108.7705,108.924120486111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-20
"21",7.28857,0,0.608924,0.0746466199976363,1,7.28857,7.28857,7.28857,0.165637,0.0780597,0.1352365,0.123363440322581,62,0.165637,0.1352365,0.135753935483871,NA,NA,NA,3,"(95,100]","(65,70]","(75,80]","(75,80]",NA,NA,NA,NA,NA,NA,NA,NA,111.441,105.209,109.1015,109.176771412037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-21
"22",0.596103,0,0.346026,0.06952995838297,0,-Inf,NA,NA,0.147682,0.0859611,0.1283155,0.118100302173913,46,0.147682,0.1283155,0.130322347826087,NA,NA,NA,NA,"(90,95]","(60,65]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.837,107.716,109.0035,109.131723958333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-22
"23",0.550633,0,0.504893,0.071766594009589,0,-Inf,NA,NA,0.154078,0.0808629,0.133445,0.12129998,50,0.154078,0.133445,0.133638,NA,NA,NA,NA,"(85,90]","(55,60]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.243,107.462,108.629,108.727003240741,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-23
"24",0.567899,0,0.477368,0.0732821513020691,0,-Inf,NA,NA,0.147585,0.0917817,0.127159,0.117534991428571,35,0.147585,0.127159,0.129459142857143,NA,NA,NA,NA,"(85,90]","(55,60]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.133,104.449,107.868,108.156484375,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-24
"25",1.40212,0,0.5601625,0.0779195013126973,0,-Inf,NA,NA,0.16168,0.0849269,0.132879,0.120309517346939,49,0.16168,0.132879,0.134167408163265,NA,NA,NA,NA,"(85,90]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.912,106.601,108.2615,108.280603356481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-25
"26",4.402,0,0.541794,0.0790626226768445,0,-Inf,NA,NA,0.154983,0.0811357,0.128627,0.122378597321429,56,0.154983,0.128627,0.132501160714286,NA,NA,NA,NA,"(85,90]","(50,55]","(70,75]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.67,106.999,108.229,108.273164351852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-26
"27",9.81467,0,0.587948,0.0898954792564207,2,9.81467,8.306995,8.306995,0.172155,0.0778945,0.130647,0.123363259016393,61,0.172155,0.130647,0.134168196721311,NA,NA,NA,3,"(90,95]","(50,55]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.01,104.667,108.129,108.092064814815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-27
"28",0.686448,0,0.33755,0.0882664335382952,0,-Inf,NA,NA,0.196046,0.0782717,0.132035,0.125333957042254,71,0.196046,0.132035,0.138280830985915,NA,NA,NA,NA,"(95,100]","(50,55]","(70,75]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.127,106.407,108.439,108.493335185185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-28
"29",1.2083,0,0.301274,0.0902722567380443,0,-Inf,NA,NA,0.166855,0.0788108,0.1361175,0.1271798425,80,0.166855,0.1361175,0.136777875,NA,NA,NA,NA,"(100,105]","(55,60]","(75,80]","(75,80]",NA,NA,NA,NA,NA,NA,NA,NA,112.054,107.072,108.795,109.030876041667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-29
"30",0.696225,0,0.307617,0.0833499373053896,0,-Inf,NA,NA,0.20303,0.0946259,0.13448,0.12805205304878,82,0.20303,0.13448,0.136695695121951,NA,NA,NA,NA,"(85,90]","(60,65]","(65,70]","(70,75]",NA,NA,NA,NA,NA,NA,NA,NA,111.68,107.664,108.4925,108.739379861111,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-31
