"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"13",0.824487,0,0.493285,0.065572620893957,0,-Inf,NA,NA,0.231244,0.0982152,0.140884,0.134359564825046,181,0.231244,0.140884,0.143229082872928,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.97,94.0498,106.316,105.876928978128,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-13
"14",3.98863,0,2.67273,0.0688001649428255,0,-Inf,NA,NA,0.227391,0.0911174,0.141723,0.133828692156863,170,0.227391,0.141723,0.1440147,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.595,105.651,106.6155,106.737178935185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-14
"15",1.91048,0,1.0775785,0.0657728086162074,0,-Inf,NA,NA,0.280523,0.0982901,0.140688,0.133989646060606,165,0.280523,0.140688,0.144888096969697,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.379,105.583,106.689,106.757816782407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-15
"16",0.610508,0,0.201383,0.0642753269084906,0,-Inf,NA,NA,0.242642,0.0917817,0.146383,0.137602249444444,180,0.242642,0.146383,0.149165155555556,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,108.268,103.158,106.591,106.630657523148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-16
"17",0.445996,0,0.445996,0.0619554585889008,0,-Inf,NA,NA,0.226741,0.0991851,0.145056,0.137059489194139,182,0.226741,0.145056,0.147868516483516,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.406,105.473,106.6735,106.638475810185,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-17
"18",1.69802,0,0.439453,0.0664825484242729,0,-Inf,NA,NA,0.29286,0.104235,0.1421395,0.135477856435644,202,0.29286,0.1421395,0.145244321782178,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.055,105.896,106.775,106.779567476852,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-18
"19",0.158447,0.0439453,0.158447,0.068453865992116,0,-Inf,NA,NA,0.184034,0.105359,0.141233,0.133117142076503,183,0.184034,0.141233,0.142867661202186,NA,NA,NA,NA,"(65,70]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.378,105.688,106.552,106.601513888889,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-19
"20",1.3743,0,0.489354,0.0682905717919393,0,-Inf,NA,NA,0.302377,0.101224,0.144815,0.135817103603604,185,0.302377,0.144815,0.147657827027027,NA,NA,NA,NA,"(65,70]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.158,105.694,106.63,106.536420023148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-20
"21",1.29546,0,0.485392,0.0709100341687946,0,-Inf,NA,NA,0.280418,0.107452,0.146224,0.136151399812734,178,0.280418,0.146224,0.149550483146067,NA,NA,NA,NA,"(70,75]","(50,55]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.443,105.701,106.529,106.697895833333,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-21
"22",2.05606,0,0.351562,0.0666057989955561,0,-Inf,NA,NA,0.234106,0.104939,0.143063,0.134719570409982,187,0.234106,0.143063,0.145236844919786,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.958,105.218,106.293,106.339687152778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-22
"23",1.33871,0,0.439453,0.0649421152783086,0,-Inf,NA,NA,0.230477,0.106886,0.146806,0.136779652252252,185,0.230477,0.146806,0.148629875675676,NA,NA,NA,NA,"(65,70]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.289,105.386,106.2565,106.309960532407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-23
"24",1.04642,0,0.428326,0.0761543147771064,0,-Inf,NA,NA,0.240271,0.107384,0.1405575,0.133874597069597,182,0.240271,0.1405575,0.142697450549451,NA,NA,NA,NA,"(60,65]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.064,103.866,105.816,105.775373032407,"0","0","23","1","0","0","0","0","0","0","0","0","0","0",2015-02-24
"25",5.03015,0,0.460902,0.100570949956049,1,5.03015,5.03015,5.03015,0.20523,0.0970651,0.144426,0.136025375483078,128,0.20523,0.144426,0.1458072109375,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,108.773,91.7962,105.048,102.05062630787,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-25
"26",4.93833,0,0.832645,0.0920105129852801,0,-Inf,NA,NA,0.27926,0.106834,0.1483995,0.138435699404762,224,0.27926,0.1483995,0.150089821428571,NA,NA,NA,NA,"(70,75]","(35,40]","(50,55]","(50,55]",NA,NA,NA,NA,NA,NA,NA,NA,107.947,103.85,106.197,106.230440856481,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-26
"27",0.435036,0.0439453,0.430574,0.0913550305496743,0,-Inf,NA,NA,0.229949,0.0300798,0.150488,0.138422469207773,223,0.229949,0.150488,0.150598721973094,NA,NA,NA,NA,"(70,75]","(40,45]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,108.176,105.359,106.416,106.477925462963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-27
"28",4.09376,0.0439453,0.473305,0.0968126457181863,0,-Inf,NA,NA,0.265626,0.107931,0.1547815,0.14143011601682,218,0.265626,0.1547815,0.154622637614679,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,107.727,105.168,106.249,106.200646412037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-02-28
