"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_median_value","thy_resv_average_value","thy_resv_high_var","swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","dqi_max_value","dqi_min_value","dqi_median_value","dqi_average_value","hvv_max_value","hvv_min_value","hvv_median_value","hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"14",NA,NA,NA,NA,NA,NA,NA,NA,0.161655,0.0853809,0.131546,0.116714797101449,92,0.161655,0.131546,0.134171434782609,NA,NA,NA,NA,"(75,80]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.2,106.56,108.202,108.154009259259,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-14
"15",NA,NA,NA,NA,NA,NA,NA,NA,0.1617,0.0745865,0.12751,0.112087276406926,77,0.1617,0.12751,0.129923441558442,NA,NA,NA,NA,"(70,75]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.352,105.766,107.625,107.5897375,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-15
"16",NA,NA,NA,NA,NA,NA,NA,NA,0.187336,0.0239657,0.131252,0.108517674747475,33,0.187336,0.131252,0.135698757575758,NA,NA,NA,NA,"(75,80]","(40,45]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.636,106.096,107.494,107.618054282407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-16
"17",NA,NA,NA,NA,NA,NA,NA,NA,0.214553,0.0806578,0.12843,0.116252138709677,93,0.214553,0.12843,0.133791440860215,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.504,103.494,108.0715,108.045954050926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-17
"18",NA,NA,NA,NA,NA,NA,NA,NA,0.169112,0.0710731,0.133377,0.115801611345382,83,0.169112,0.133377,0.134075903614458,NA,NA,NA,NA,"(85,90]","(45,50]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,110.269,106.501,108.039,108.31716400463,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-18
"19",NA,NA,NA,NA,NA,NA,NA,NA,0.159479,0.0811357,0.132882,0.116895896103896,77,0.159479,0.132882,0.134248818181818,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,111.919,92.4867,107.964,106.822821597222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-19
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.159615,0.0810221,0.1266655,0.115287706944444,78,0.159615,0.1266655,0.130760884615385,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.643,106.608,107.837,108.017505439815,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-20
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.150793,0.0305655,0.131313,0.116911111594203,92,0.150793,0.131313,0.132722717391304,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.844,107.376,108.15,108.243219444444,"0","0","16","1","0","0","0","0","0","0","0","0","0","0",2015-04-21
"22",NA,NA,NA,NA,NA,NA,NA,NA,0.158495,0.0178973,0.128071,0.116442620925926,45,0.158495,0.128071,0.133196911111111,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,113.187,93.2267,107.292,102.397925520833,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-22
"23",NA,NA,NA,NA,NA,NA,NA,NA,0.147157,0.0613714,0.1292715,0.0984150746794872,26,0.147157,0.1292715,0.130065038461538,NA,NA,NA,NA,"(75,80]","(45,50]","(50,55]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.725,107.174,107.926,108.059198842593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-23
"24",NA,NA,NA,NA,NA,NA,NA,NA,0.15001,0,0.128915,0.0993591884615385,26,0.15001,0.128915,0.130382307692308,NA,NA,NA,NA,"(75,80]","(45,50]","(55,60]","(55,60]",NA,NA,NA,NA,NA,NA,NA,NA,109.783,106.681,108,108.075530902778,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-24
"25",NA,NA,NA,NA,NA,NA,NA,NA,0.159384,0.0648711,0.1279615,0.0985138574404762,28,0.159384,0.1279615,0.129824928571429,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.473,106.712,107.847,107.879006597222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-25
"26",NA,NA,NA,NA,NA,NA,NA,NA,0.207859,0.0718971,0.1291775,0.1010000875,24,0.207859,0.1291775,0.131650875,NA,NA,NA,NA,"(70,75]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,109.501,106.144,107.803,108.004417592593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-26
"27",NA,NA,NA,NA,NA,NA,NA,NA,0.143458,0.0650128,0.127081,0.10168150745614,38,0.143458,0.127081,0.127984368421053,NA,NA,NA,NA,"(75,80]","(50,55]","(55,60]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.295,106.77,107.7845,108.115656828704,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-27
"28",NA,NA,NA,NA,NA,NA,NA,NA,0.165415,0.0639566,0.1315695,0.104365361607143,56,0.165415,0.1315695,0.13237425,NA,NA,NA,NA,"(85,90]","(45,50]","(65,70]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,111.839,107.237,108.587,108.697560416667,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-28
"29",NA,NA,NA,NA,NA,NA,NA,NA,0.181536,0.0304599,0.129344,0.100071454805195,77,0.181536,0.129344,0.131287558441558,NA,NA,NA,NA,"(85,90]","(50,55]","(60,65]","(65,70]",NA,NA,NA,NA,NA,NA,NA,NA,111.045,96.8442,108.442,108.578431712963,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-29
"30",NA,NA,NA,NA,NA,NA,NA,NA,0.189252,0.0637259,0.128091,0.0969616699981399,64,0.189252,0.128091,0.131600140625,NA,NA,NA,NA,"(80,85]","(45,50]","(60,65]","(60,65]",NA,NA,NA,NA,NA,NA,NA,NA,110.914,104.737,108.23,108.417704050926,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-04-30
