"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-06-30
"2",NA,NA,NA,NA,NA,NA,NA,NA,0.197144,0.068922,0.127783,0.11161773125,8,0.197144,0.127783,0.13768125,3,3,0,NA,NA,NA,NA,NA,23,0,22.5,22.226310483871,22.32,21.11,21.6325,21.6330514115217,108.489,104.712,105.89,106.27102037037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-01
"3",1.30437,0,0.409895,0.0845850193785948,0,-Inf,NA,NA,0.232552,0.0598857,0.138232,0.119636014285714,7,0.232552,0.138232,0.155824714285714,3,3,0,0,NA,NA,NA,NA,23.5,0,22.5,22.2343081312411,22.4975,5.875,21.6325,21.6272306079665,108.434,-216662,106.2885,80.9622753955136,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-02
"4",5.96961,0,0.313832,0.0899162504335261,0,-Inf,NA,NA,0.252589,0.0634087,0.125544,0.119659416666667,9,0.252589,0.125544,0.146215555555556,3,3,0,NA,NA,NA,NA,NA,22.5,22,22,22.2277316985215,21.6475,21.6075,21.6325,21.6329821852732,107.705,105.054,106.1655,106.14633900463,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-03
"5",0.448156,0.0439453,0.232388,0.0838371262068466,0,-Inf,NA,NA,0.173544,0.0710194,0.123445,0.104689079166667,12,0.173544,0.123445,0.128714083333333,3,3,0,0,NA,NA,NA,NA,22.5,0,22,22.2112251056126,21.6425,0.77,21.6325,21.630037474888,107.292,105.291,105.888,106.035600740655,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-04
"6",0.448156,0.0439453,0.164428,0.0923884907557511,0,-Inf,NA,NA,0.259448,0.0648619,0.1380995,0.1249171375,8,0.259448,0.1380995,0.159614,3,3,0,NA,NA,NA,NA,NA,22.5,22,22.5,22.2908704883227,21.645,21.625,21.6325,21.6331087179487,107.587,105.378,106.009,106.244436342593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-05
"7",0.435036,0,0.164428,0.0923366841831761,0,-Inf,NA,NA,0.201477,0.0544566,0.135795,0.11047053,10,0.201477,0.135795,0.1426555,3,3,0,NA,NA,NA,NA,NA,23,21.5,22,22.229296875,21.6475,21.615,21.6325,21.6330527251185,107.693,104.918,105.8925,106.177011342593,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-06
"8",2.89439,0.0439453,0.175781,0.09967047980187,0,-Inf,NA,NA,0.281475,0.0569104,0.1324705,0.119507978571429,14,0.281475,0.1324705,0.161324,3,3,0,NA,NA,NA,NA,NA,22.5,21.5,22.5,22.2731143552311,21.645,21.1725,21.6325,21.6328423455056,107.329,104.854,105.801,105.908175694444,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-07
"9",2.89439,0.0439453,0.206122,0.100947251738901,0,-Inf,NA,NA,0.224177,0.0567918,0.1380785,0.124096855,10,0.224177,0.1380785,0.153623,3,3,0,NA,NA,NA,NA,NA,22.5,0,21,21.1772563176895,22.055,19.575,20.2975,20.8119282670455,106.441,102.771,103.688,103.892003472222,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-08
"10",0.956757,0,0.175781,0.10848026232953,0,-Inf,NA,NA,0.157396,0.074565,0.129408,0.110917483333333,3,0.157396,0.129408,0.135973333333333,3,3,0,NA,NA,NA,NA,NA,23,21,22,22.0920019627085,21.7925,20.2975,21.7825,21.7489812942366,107.12,104.445,105.486,105.60870787037,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2015-07-09
