"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1435622409,0.116268,581477876,0,0,2015-06-30 00:00:09,"li24_61",0,30,2015,0.158447,0.0439453,0.0982647,0.10219812430614,2595591
"59",1435626063,0.0982647,890505222,0,0,2015-06-30 01:01:03,"li24_61",1,30,2015,0.164428,0.0439453,0.0982647,0.0972652345125108,2595586
"115",1435629643,0.0439453,228324677,0,0,2015-06-30 02:00:43,"li24_61",2,30,2015,0.152231,0.0439453,0.0878906,0.0896066419708029,2595590
"167",1435633227,0.0982647,556469225,0,0,2015-06-30 03:00:27,"li24_61",3,30,2015,0.152231,0.0439453,0.0878906,0.09157569,2595590
"223",1435636846,0.0621481,888185736,0,0,2015-06-30 04:00:46,"li24_61",4,30,2015,0.328857,0.0439453,0.0878906,0.090311711875,2595596
"280",1435640416,0.0761155,204115726,0,0,2015-06-30 05:00:16,"li24_61",5,30,2015,0.138967,0,0.0878906,0.0875581736036036,2595595
"335",1435644050,0.0621481,543846134,0,0,2015-06-30 06:00:50,"li24_61",6,30,2015,0.138967,0.0439453,0.0982647,0.0940758081200353,2595585
"390",1435647624,0.0878906,883437119,0,0,2015-06-30 07:00:24,"li24_61",7,30,2015,1.4035,0,0.0878906,0.0901507454794521,2595586
"442",1435651204,0.0878906,216994604,0,0,2015-06-30 08:00:04,"li24_61",8,30,2015,0.124296,0,0.0761155,0.0765630400587659,2595590
"491",1435654818,0.0761155,550153767,0,0,2015-06-30 09:00:18,"li24_61",9,30,2015,0.124296,0.0439453,0.0761155,0.0776487486083499,2595595
"541",1435658487,0.0761155,879213078,0,0,2015-06-30 10:01:27,"li24_61",10,30,2015,0.131836,0.0439453,0.08200305,0.0825086358333333,2595595
"594",1435662022,0.0878906,244181942,0,0,2015-06-30 11:00:22,"li24_61",11,30,2015,0.138967,0.0439453,0.0878906,0.0891314666666667,2595585
"652",1435665641,0.107644,586499049,0,0,2015-06-30 12:00:41,"li24_61",12,30,2015,0.138967,0.0439453,0.0878906,0.0872634469350412,2595585
"708",1435669250,0.107644,929797906,0,0,2015-06-30 13:00:50,"li24_61",13,30,2015,0.131836,0.0439453,0.0878906,0.0860723501834862,2595590
"763",1435672860,0.0878906,281318169,0,0,2015-06-30 14:01:00,"li24_61",14,30,2015,0.419212,0.0439453,0.0878906,0.084645652611586,2595590
"814",1435676434,0.0982647,630815339,0,0,2015-06-30 15:00:34,"li24_61",15,30,2015,0.14575,0.0439453,0.0878906,0.0887182729281768,2595595
"869",1435680048,0.0621481,963309842,0,0,2015-06-30 16:00:48,"li24_61",16,30,2015,2.52676,0.0439453,0.0878906,0.0924544000879507,2595595
"925",1435683628,0.107644,287216541,0,0,2015-06-30 17:00:28,"li24_61",17,30,2015,1.55246,0.0439453,0.0982647,0.0961505477690289,2595595
"980",1435687212,0.124296,626402190,0,0,2015-06-30 18:00:12,"li24_61",18,30,2015,0.416902,0.0439453,0.0878906,0.0907879639891697,2595585
"1036",1435690806,0.0878906,958552386,0,0,2015-06-30 19:00:06,"li24_61",19,30,2015,0.228347,0.0439453,0.0982647,0.0970412992926614,2595595
"1093",1435694451,0.0761155,277166450,0,0,2015-06-30 20:00:51,"li24_61",20,30,2015,0.131836,0.0439453,0.0878906,0.0922003805309734,2595594
"1147",1435698020,0.107644,593729857,0,0,2015-06-30 21:00:20,"li24_61",21,30,2015,0.426066,0.0439453,0.0878906,0.0905249645478961,2595595
"1202",1435701639,0.0982647,914131365,0,0,2015-06-30 22:00:39,"li24_61",22,30,2015,0.170199,0.0439453,0.0878906,0.09331795,2595595
"1255",1435705259,0.0878906,233645319,0,0,2015-06-30 23:00:59,"li24_61",23,30,2015,0.164428,0.0439453,0.0982647,0.0959659542039356,2595589
"1305",1435708822,0.0878906,561283424,0,0,2015-07-01 00:00:22,"li24_61",0,1,2015,0.158447,0.0439453,0.0761155,0.0834822677179963,3579
"1359",1435712432,0.0761155,14506639,0,0,2015-07-01 01:00:32,"li24_61",1,1,2015,0.124296,0,0.0761155,0.0772160671370968,3595
"1409",1435716056,0.0878906,211344718,0,0,2015-07-01 02:00:56,"li24_61",2,1,2015,0.131836,0.0439453,0.0761155,0.0781289662698413,3589
"1459",1435719660,0.0761155,611213040,0,0,2015-07-01 03:01:00,"li24_61",3,1,2015,0.409895,0.0439453,0.0761155,0.0741179614255765,3599
"1507",1435723244,0.0621481,852060696,0,0,2015-07-01 04:00:44,"li24_61",4,1,2015,0.131836,0.0439453,0.0761155,0.0816497060194175,3590
"1558",1435726824,0.0621481,183742258,0,0,2015-07-01 05:00:24,"li24_61",5,1,2015,0.508704,0.0439453,0.0761155,0.0731866936605317,3594
"1607",1435730413,0.0878906,501401977,0,0,2015-07-01 06:00:13,"li24_61",6,1,2015,0.131836,0.0439453,0.0878906,0.08758634,3579
"1662",1435734042,0.0982647,828645417,0,0,2015-07-01 07:00:42,"li24_61",7,1,2015,0.138967,0.0439453,0.0761155,0.0745273064777328,3585
"1711",1435737632,0.0761155,166168762,0,0,2015-07-01 08:00:32,"li24_61",8,1,2015,0.116268,0.0439453,0.0761155,0.0709461594142259,3594
"1759",1435741231,0.0761155,497137805,0,0,2015-07-01 09:00:31,"li24_61",9,1,2015,0.124296,0.0439453,0.0761155,0.0766158909090909,3589
"1812",1435744845,0.0621481,819456830,0,0,2015-07-01 10:00:45,"li24_61",10,1,2015,0.426066,0.0439453,0.0878906,0.0900050982668977,3590
"1869",1435748410,0.0878906,155817280,0,0,2015-07-01 11:00:10,"li24_61",11,1,2015,0.294794,0,0.0878906,0.0843574547134935,3589
"1924",1435752084,0.0621481,463310463,0,0,2015-07-01 12:01:24,"li24_61",12,1,2015,1.30437,0.0439453,0.0761155,0.0788441250489237,3589
"1975",1435755648,0.0761155,808319573,0,0,2015-07-01 13:00:48,"li24_61",13,1,2015,0.124296,0,0.0761155,0.0728005157495256,3595
"2027",1435759214,0.0878906,181113235,0,0,2015-07-01 14:00:14,"li24_61",14,1,2015,0.14575,0,0.0761155,0.0770880885122411,3589
"2080",1435762802,0.0761155,463752036,0,0,2015-07-01 15:00:02,"li24_61",15,1,2015,0.138967,0.0439453,0.0982647,0.094247987826087,3594
"2138",1435766431,0.0621481,775561728,0,0,2015-07-01 16:00:31,"li24_61",16,1,2015,0.158447,0.0439453,0.0878906,0.089843311332008,3240
"2188",1435770042,0.170199,407686457,0,0,2015-07-01 17:00:42,"li24_61",17,1,2015,1.21785,0.0439453,0.0878906,0.110681153823529,3554
"2222",1435773601,0.107644,676197252,0,0,2015-07-01 18:00:01,"li24_61",18,1,2015,0.164428,0.0439453,0.0878906,0.0867920233333333,3589
"2276",1435777201,0.0982647,8022121,0,0,2015-07-01 19:00:01,"li24_61",19,1,2015,0.362382,0.0439453,0.0878906,0.0912340109461967,3589
"2330",1435780815,0.0878906,277477246,0,0,2015-07-01 20:00:15,"li24_61",20,1,2015,0.409895,0.0439453,0.0761155,0.075336006779661,3594
