"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"16230",1433218660,0.201383,403206770,0,0,2015-06-02 04:17:40,"li28_31",0.201383,0.0621481,0.0982647,0.0964577516129032,900,0.15,15,"june_2015"
"16977",1433223119,0.158447,598394468,0,0,2015-06-02 05:31:59,"li28_31",0.158447,0.0621481,0.107644,0.104773095302013,900,0.15,15,"june_2015"
"17186",1433224389,0.152231,358429905,0,0,2015-06-02 05:53:09,"li28_31",0.152231,0.0621481,0.0982647,0.100832007236842,900,0.15,15,"june_2015"
"18051",1433229613,0.152231,417415251,0,0,2015-06-02 07:20:13,"li28_31",0.152231,0.0761155,0.107644,0.109820026315789,900,0.15,15,"june_2015"
"18258",1433230853,0.170199,198545687,0,0,2015-06-02 07:40:53,"li28_31",0.170199,0.0621481,0.116268,0.115087653503185,900,0.15,15,"june_2015"
"18473",1433232092,0.164428,976197670,0,0,2015-06-02 08:01:32,"li28_31",0.164428,0.0761155,0.116268,0.114327643150685,900,0.15,15,"june_2015"
"18810",1433234137,0.152231,599654590,0,0,2015-06-02 08:35:37,"li28_31",0.181191,0.0761155,0.124296,0.122688387654321,890,0.15,15,"june_2015"
"19020",1433235337,0.158447,382780377,0,0,2015-06-02 08:55:37,"li28_31",0.170199,0.0761155,0.124296,0.121558946405229,900,0.15,15,"june_2015"
"19181",1433236292,0.158447,216725093,0,0,2015-06-02 09:11:32,"li28_31",0.170199,0.0621481,0.116268,0.119239331788079,895,0.15,15,"june_2015"
"19349",1433237282,0.158447,32509951,0,0,2015-06-02 09:28:02,"li28_31",0.181191,0.0878906,0.124296,0.1280671775,899,0.15,15,"june_2015"
"19510",1433238191,0.152231,876266306,0,0,2015-06-02 09:43:11,"li28_31",0.191553,0.0621481,0.124296,0.126333996103896,896,0.15,15,"june_2015"
"19668",1433239116,0.152231,707501461,0,0,2015-06-02 09:58:36,"li28_31",0.196529,0.0878906,0.131836,0.129988648051948,900,0.15,15,"june_2015"
"19825",1433240041,0.152231,624613470,0,0,2015-06-02 10:14:01,"li28_31",0.175781,0.0982647,0.131836,0.1341155,900,0.15,15,"june_2015"
