"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"1",1461974401,0.152231,407648139,0,0,2016-04-30 00:00:01,"li28_31",0.224078,0.0878906,0.14575,0.145231291139241,900,0.15,15,"apr_2016"
"160",1461975316,0.164428,250865130,0,0,2016-04-30 00:15:16,"li28_31",0.519968,0.0878906,0.138967,0.158038947674419,900,0.15,15,"apr_2016"
"332",1461976221,0.175781,298535481,0,0,2016-04-30 00:30:21,"li28_31",0.281387,0.0878906,0.138967,0.142135726035503,899,0.15,15,"apr_2016"
"501",1461977125,0.236653,930374034,0,0,2016-04-30 00:45:25,"li28_31",0.334678,0.0761155,0.138967,0.138515715384615,900,0.15,15,"apr_2016"
"670",1461978030,0.186444,768246093,0,0,2016-04-30 01:00:30,"li28_31",1.02214,0.0878906,0.138967,0.149972617682927,900,0.15,15,"apr_2016"
"834",1461978935,0.191553,609510981,0,0,2016-04-30 01:15:35,"li28_31",0.74058,0.0761155,0.14575,0.18006249132948,900,0.15,15,"apr_2016"
"1009",1461979850,0.158447,931167263,0,0,2016-04-30 01:30:50,"li28_31",2.03719,0.0878906,0.131836,0.156004813664596,900,0.15,15,"apr_2016"
"1189",1461980860,0.152231,266451971,0,0,2016-04-30 01:47:40,"li28_31",0.471261,0.0761155,0.124296,0.146278812121212,900,0.15,15,"apr_2016"
"1355",1461981770,0.201383,106031472,0,0,2016-04-30 02:02:50,"li28_31",0.530993,0.0878906,0.138967,0.150329983529412,899,0.15,15,"apr_2016"
"1530",1461982699,0.158447,939601246,0,0,2016-04-30 02:18:19,"li28_31",0.610508,0.0878906,0.131836,0.1456686575,900,0.15,15,"apr_2016"
"1690",1461983604,0.152231,778820958,0,0,2016-04-30 02:33:24,"li28_31",0.499123,0.0878906,0.131836,0.144524605487805,900,0.15,15,"apr_2016"
"1855",1461984515,0.152231,307106873,0,0,2016-04-30 02:48:35,"li28_31",0.536421,0.0761155,0.131836,0.172232651807229,899,0.15,15,"apr_2016"
"2029",1461985474,0.164428,441438713,0,0,2016-04-30 03:04:34,"li28_31",0.497184,0.0761155,0.138967,0.163048185628743,900,0.15,15,"apr_2016"
"2196",1461986379,0.158447,288518939,0,0,2016-04-30 03:19:39,"li28_31",0.359708,0.0761155,0.131836,0.131861712121212,900,0.15,15,"apr_2016"
"2361",1461987284,0.158447,732130585,0,0,2016-04-30 03:34:44,"li28_31",0.521822,0.0761155,0.138967,0.155786436144578,899,0.15,15,"apr_2016"
"2527",1461988189,0.232537,787480963,0,0,2016-04-30 03:49:49,"li28_31",0.502977,0.0878906,0.138967,0.186138213924051,439,0.15,15,"apr_2016"
"2606",1461992628,0.475341,606436576,0,0,2016-04-30 05:03:48,"li28_31",2.00758,0.0761155,0.228347,0.270035061931818,899,0.15,15,"apr_2016"
"2782",1461993532,0.236653,997043465,0,0,2016-04-30 05:18:52,"li28_31",0.562775,0.0878906,0.164428,0.200319789595376,900,0.15,15,"apr_2016"
"2956",1461994442,0.152231,838108345,0,0,2016-04-30 05:34:02,"li28_31",0.506802,0.0761155,0.152231,0.207590529069767,900,0.15,15,"apr_2016"
"3130",1461995357,0.435036,670222733,0,0,2016-04-30 05:49:17,"li28_31",0.445996,0.0761155,0.131836,0.151770672670807,900,0.15,15,"apr_2016"
"3291",1461996262,0.152231,509547582,0,0,2016-04-30 06:04:22,"li28_31",0.421509,0.0761155,0.124296,0.132855487394958,665,0.15,15,"apr_2016"
"11",1461974401,0.152231,407648139,0,0,2016-04-30 00:00:01,"li28_31",0.519968,0.0761155,0.138967,0.14612361686747,3599,0.15,60,"apr_2016"
"666",1461978010,0.152231,773673632,0,0,2016-04-30 01:00:10,"li28_31",2.03719,0.0761155,0.131836,0.157700674393939,3600,0.15,60,"apr_2016"
"1327",1461981620,0.158447,134544267,0,0,2016-04-30 02:00:20,"li28_31",0.610508,0.0761155,0.131836,0.150910711890244,3599,0.15,60,"apr_2016"
"1983",1461985225,0.385619,456897284,0,0,2016-04-30 03:00:25,"li28_31",0.521822,0.0761155,0.131836,0.156525339486356,3403,0.15,60,"apr_2016"
"26061",1461992628,0.475341,606436576,0,0,2016-04-30 05:03:48,"li28_31",2.00758,0.0761155,0.164428,0.208885107216495,3589,0.15,60,"apr_2016"
"3286",1461996237,0.248592,510170877,0,0,2016-04-30 06:03:57,"li28_31",0.421509,0.0761155,0.128066,0.133864870967742,690,0.15,60,"apr_2016"
"12",1461974401,0.152231,407648139,0,0,2016-04-30 00:00:01,"li28_31",1.02214,0.0761155,0.138967,0.152355517417417,5399,0.15,90,"apr_2016"
"1001",1461979810,0.181191,459945471,0,0,2016-04-30 01:30:10,"li28_31",2.03719,0.0761155,0.131836,0.150471809591837,5399,0.15,90,"apr_2016"
"1981",1461985214,0.196529,489166360,0,0,2016-04-30 03:00:14,"li28_31",0.521822,0.0761155,0.131836,0.1568697528,3414,0.15,90,"apr_2016"
"26062",1461992628,0.475341,606436576,0,0,2016-04-30 05:03:48,"li28_31",2.00758,0.0761155,0.152231,0.197199626616915,4299,0.15,90,"apr_2016"
"13",1461974401,0.152231,407648139,0,0,2016-04-30 00:00:01,"li28_31",2.03719,0.0761155,0.138967,0.15193519425548,7199,0.15,120,"apr_2016"
"13271",1461981620,0.158447,134544267,0,0,2016-04-30 02:00:20,"li28_31",0.610508,0.0761155,0.131836,0.153645593041439,7008,0.15,120,"apr_2016"
"26063",1461992628,0.475341,606436576,0,0,2016-04-30 05:03:48,"li28_31",2.00758,0.0761155,0.152231,0.197199626616915,4299,0.15,120,"apr_2016"
"14",1461974401,0.152231,407648139,0,0,2016-04-30 00:00:01,"li28_31",2.03719,0.0761155,0.131836,0.151334493579373,10798,0.15,180,"apr_2016"
"1980",1461985209,0.325907,494248431,0,0,2016-04-30 03:00:09,"li28_31",2.00758,0.0761155,0.14575,0.185448804176517,10798,0.15,180,"apr_2016"
"3250",1461996017,0.152231,551949707,0,0,2016-04-30 06:00:17,"li28_31",0.421509,0.0761155,0.128066,0.13417001125,910,0.15,180,"apr_2016"
