"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"5804",1438439879,0.270897,21853585,0,0,2015-08-01 14:37:59,"li28_31",0.304462,0.152231,0.206122,0.206844028409091,899,0.15,15,"aug_2015"
"5980",1438440783,0.191553,917330860,0,0,2015-08-01 14:53:03,"li28_31",0.328857,0.131836,0.206122,0.208794902298851,895,0.15,15,"aug_2015"
"6154",1438441684,0.210754,632384343,0,0,2015-08-01 15:08:04,"li28_31",0.328857,0.131836,0.210754,0.213954849710983,899,0.15,15,"aug_2015"
"6328",1438442593,0.215287,572420059,0,0,2015-08-01 15:23:13,"li28_31",0.393059,0.14575,0.215287,0.223097854651163,900,0.15,15,"aug_2015"
"6500",1438443498,0.33755,423713329,0,0,2015-08-01 15:38:18,"li28_31",0.383106,0.138967,0.224078,0.233657844827586,900,0.15,15,"aug_2015"
"6674",1438444403,0.196529,259352081,0,0,2015-08-01 15:53:23,"li28_31",0.405156,0.131836,0.232537,0.240153617977528,900,0.15,15,"aug_2015"
"6852",1438445308,0.196529,101167873,0,0,2015-08-01 16:08:28,"li28_31",0.458803,0.152231,0.228347,0.241798011363636,899,0.15,15,"aug_2015"
"7028",1438446212,0.186444,940560478,0,0,2015-08-01 16:23:32,"li28_31",0.340399,0.124296,0.228347,0.230353870786517,900,0.15,15,"aug_2015"
"7206",1438447117,0.191553,781518009,0,0,2015-08-01 16:38:37,"li28_31",0.33755,0.138967,0.224078,0.230964438202247,900,0.15,15,"aug_2015"
"7384",1438448022,0.215287,630430299,0,0,2015-08-01 16:53:42,"li28_31",0.359708,0.124296,0.210754,0.213070125,900,0.15,15,"aug_2015"
"7560",1438448927,0.263672,488302957,0,0,2015-08-01 17:08:47,"li28_31",0.362382,0.131836,0.210754,0.218103140350877,900,0.15,15,"aug_2015"
"7731",1438449832,0.191553,319821998,0,0,2015-08-01 17:23:52,"li28_31",0.380578,0.138967,0.219727,0.2250116,900,0.15,15,"aug_2015"
"7906",1438450737,0.219727,153988307,0,0,2015-08-01 17:38:57,"li28_31",0.479387,0.14575,0.2262125,0.241005856321839,900,0.15,15,"aug_2015"
"8080",1438451642,0.224078,813316,0,0,2015-08-01 17:54:02,"li28_31",0.378032,0.14575,0.224078,0.228003926136364,899,0.15,15,"aug_2015"
"8256",1438452546,0.244677,838317790,0,0,2015-08-01 18:09:06,"li28_31",0.402765,0.158447,0.232537,0.237518459770115,900,0.15,15,"aug_2015"
"8430",1438453451,0.201383,681702064,0,0,2015-08-01 18:24:11,"li28_31",0.372888,0.14575,0.232537,0.234969318435754,900,0.15,15,"aug_2015"
"8609",1438454356,0.191553,528130601,0,0,2015-08-01 18:39:16,"li28_31",0.340399,0.158447,0.232537,0.234039994285714,900,0.15,15,"aug_2015"
"8784",1438455261,0.259984,368598902,0,0,2015-08-01 18:54:21,"li28_31",0.325907,0.14575,0.232537,0.234606621468927,900,0.15,15,"aug_2015"
"8961",1438456166,0.206122,217679258,0,0,2015-08-01 19:09:26,"li28_31",0.322931,0.131836,0.2219025,0.222154114942529,900,0.15,15,"aug_2015"
"9135",1438457071,0.215287,57402144,0,0,2015-08-01 19:24:31,"li28_31",0.354298,0.138967,0.228347,0.232056994252874,894,0.15,15,"aug_2015"
"9309",1438457975,0.281387,905200821,0,0,2015-08-01 19:39:35,"li28_31",0.402765,0.14575,0.244677,0.246167103448276,900,0.15,15,"aug_2015"
"9483",1438458880,0.277935,759146079,0,0,2015-08-01 19:54:40,"li28_31",0.616802,0.14575,0.219727,0.226186079096045,900,0.15,15,"aug_2015"
"9660",1438459785,0.263672,602521712,0,0,2015-08-01 20:09:45,"li28_31",0.530993,0.158447,0.228347,0.23107574566474,900,0.15,15,"aug_2015"
"9833",1438460690,0.244677,451209630,0,0,2015-08-01 20:24:50,"li28_31",0.385619,0.152231,0.232537,0.238445051724138,900,0.15,15,"aug_2015"
"10007",1438461595,0.270897,292763602,0,0,2015-08-01 20:39:55,"li28_31",0.343224,0.152231,0.228347,0.229351378531073,900,0.15,15,"aug_2015"
"10185",1438462505,0.181191,154283578,0,0,2015-08-01 20:55:05,"li28_31",0.672234,0.14575,0.2219025,0.224186095505618,900,0.15,15,"aug_2015"
"10363",1438463409,0.181191,993481630,0,0,2015-08-01 21:10:09,"li28_31",0.354298,0.138967,0.215287,0.221675570588235,900,0.15,15,"aug_2015"
"10533",1438464314,0.210754,833023832,0,0,2015-08-01 21:25:14,"li28_31",0.319927,0.138967,0.219727,0.217892284023669,895,0.15,15,"aug_2015"
"10702",1438465215,0.294794,692361559,0,0,2015-08-01 21:40:15,"li28_31",0.362382,0.138967,0.215287,0.216358114942529,899,0.15,15,"aug_2015"
