"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1430352058,0.0439453,925671318,0,0,2015-04-30 00:00:58,"li22_31",0,30,2015,0.116268,0,0.0621481,0.067385636091954,2595581
"38",1430355659,0.0439453,1459392,0,0,2015-04-30 01:00:59,"li22_31",1,30,2015,0.477368,0,0.0761155,0.0717785452849741,2595580
"84",1430359282,0.0439453,640908429,0,0,2015-04-30 02:01:22,"li22_31",2,30,2015,0.497184,0,0.0761155,0.0734576759200841,2595575
"127",1430362807,0.0439453,19254211,0,0,2015-04-30 03:00:07,"li22_31",3,30,2015,0.116268,0,0.0761155,0.0702567003194888,2595590
"172",1430366416,0.0761155,390680775,0,0,2015-04-30 04:00:16,"li22_31",4,30,2015,0.116268,0.0439453,0.0761155,0.0741766344755971,2595595
"219",1430370005,0.0621481,744038252,0,0,2015-04-30 05:00:05,"li22_31",5,30,2015,0.124296,0.0439453,0.0761155,0.076040531408308,2595586
"270",1430373605,0.0761155,94259272,0,0,2015-04-30 06:00:05,"li22_31",6,30,2015,0.138967,0.0439453,0.0761155,0.0779274744323791,2595590
"325",1430377255,0.0761155,323417105,0,0,2015-04-30 07:00:55,"li22_31",7,30,2015,0.131836,0.0439453,0.0761155,0.0749647804133858,2595594
"376",1430380853,0.0761155,771545362,0,0,2015-04-30 08:00:53,"li22_31",8,30,2015,0.107644,0.0439453,0.0761155,0.074959578251821,2595596
"422",1430384458,0.0761155,434708604,0,0,2015-04-30 09:00:58,"li22_31",9,30,2015,0.107644,0.0439453,0.0761155,0.0743852348360656,2595595
"471",1430388068,0.0761155,133308802,0,0,2015-04-30 10:01:08,"li22_31",10,30,2015,0.504893,0.0439453,0.0761155,0.0767221895959596,2595590
"521",1430391611,0.0621481,818172224,0,0,2015-04-30 11:00:11,"li22_31",11,30,2015,0.107644,0.0439453,0.0761155,0.0736666125250501,2595591
"573",1430395236,0.0761155,166390050,0,0,2015-04-30 12:00:36,"li22_31",12,30,2015,0.107644,0.0439453,0.0761155,0.0737376067357513,2595595
"622",1430398800,0.0982647,528441464,0,0,2015-04-30 13:00:00,"li22_31",13,30,2015,0.407532,0.0439453,0.0761155,0.0781560049554014,2595595
"674",1430402409,0.0878906,873109392,0,0,2015-04-30 14:00:09,"li22_31",14,30,2015,0.124296,0.0439453,0.0878906,0.0845937608654751,2595586
"727",1430406019,0.0982647,230440769,0,0,2015-04-30 15:00:19,"li22_31",15,30,2015,0.124296,0.0439453,0.0761155,0.0794512465317919,2595590
"780",1430409673,0.0878906,623549878,0,0,2015-04-30 16:01:13,"li22_31",16,30,2015,0.116268,0.0439453,0.0761155,0.0771192817279047,2595580
"831",1430413252,0.0621481,945816898,0,0,2015-04-30 17:00:52,"li22_31",17,30,2015,0.116268,0.0439453,0.0761155,0.0736365896482412,2595595
"880",1430416807,0.0621481,317470361,0,0,2015-04-30 18:00:07,"li22_31",18,30,2015,0.512486,0,0.0761155,0.0731966735169492,2595590
"925",1430420496,0.0621481,657401902,0,0,2015-04-30 19:01:36,"li22_31",19,30,2015,0.116268,0,0.0761155,0.0698694767741935,2595581
"968",1430424061,0.0439453,62124513,0,0,2015-04-30 20:01:01,"li22_31",20,30,2015,0.252447,0,0.0761155,0.0702889944915254,2595575
"1014",1430427600,0.0621481,397304445,0,0,2015-04-30 21:00:00,"li22_31",21,30,2015,0.673669,0,0.0761155,0.0736453333678757,2595595
"1064",1430431239,0.0761155,747517440,0,0,2015-04-30 22:00:39,"li22_31",22,30,2015,4.21692,0.0439453,0.0621481,0.0735476589662447,2595581
"1109",1430434804,0.0621481,127014185,0,0,2015-04-30 23:00:04,"li22_31",23,30,2015,0.107644,0.0439453,0.0761155,0.073282008,2595595
"1159",1430438403,0.0982647,494235200,0,0,2015-05-01 00:00:03,"li22_31",0,1,2015,0.107644,0,0.0621481,0.0649913744827586,3589
"1203",1430442027,0.0878906,834695327,0,0,2015-05-01 01:00:27,"li22_31",1,1,2015,0.504893,0,0.0621481,0.0696162118,3595
"1253",1430445632,0.0878906,211616669,0,0,2015-05-01 02:00:32,"li22_31",2,1,2015,0.502977,0.0439453,0.0761155,0.0793281947572815,3574
"1304",1430449201,0.0621481,580157557,0,0,2015-05-01 03:00:01,"li22_31",3,1,2015,0.124296,0,0.0761155,0.0729382662420382,3584
"1352",1430452850,0.0878906,932144784,0,0,2015-05-01 04:00:50,"li22_31",4,1,2015,0.116268,0,0.0621481,0.0637104107551487,3580
"1395",1430456410,0.0621481,282387260,0,0,2015-05-01 05:00:10,"li22_31",5,1,2015,0.116268,0.0439453,0.0761155,0.0777225992438563,3594
"1448",1430460044,0.0761155,649082498,0,0,2015-05-01 06:00:44,"li22_31",6,1,2015,0.124296,0.0439453,0.0761155,0.0784469258003767,3595
"1501",1430463613,0.0878906,992932578,0,0,2015-05-01 07:00:13,"li22_31",7,1,2015,0.124296,0,0.0761155,0.0712445931034483,3595
"1551",1430467258,0.0621481,334448477,0,0,2015-05-01 08:00:58,"li22_31",8,1,2015,0.107644,0.0439453,0.0761155,0.0714298371179039,3594
"1596",1430470807,0.0761155,699194736,0,0,2015-05-01 09:00:07,"li22_31",9,1,2015,0.107644,0.0439453,0.0761155,0.0740022995841996,3580
