,je_count,day_count,month
jitter_event_120m_20v_count,0,31,aug_2016
jitter_event_180m_15v_count,3,31,aug_2016
jitter_event_180m_20v_count,0,31,aug_2016
jitter_event_60m_15v_count,27,30,sept_2016
jitter_event_60m_20v_count,0,30,sept_2016
jitter_event_120m_15v_count,12,30,sept_2016
jitter_event_120m_20v_count,0,30,sept_2016
jitter_event_180m_15v_count,9,30,sept_2016
jitter_event_180m_20v_count,0,30,sept_2016
jitter_event_60m_15v_count,86,31,oct_2016
jitter_event_60m_20v_count,0,31,oct_2016
jitter_event_120m_15v_count,41,31,oct_2016
jitter_event_120m_20v_count,0,31,oct_2016
jitter_event_180m_15v_count,26,31,oct_2016
jitter_event_180m_20v_count,0,31,oct_2016
jitter_event_60m_15v_count,579,30,nov_2016
jitter_event_60m_20v_count,214,30,nov_2016
jitter_event_120m_15v_count,293,30,nov_2016
jitter_event_120m_20v_count,106,30,nov_2016
jitter_event_180m_15v_count,195,30,nov_2016
jitter_event_180m_20v_count,77,30,nov_2016
jitter_event_60m_15v_count,448,20,dec_2016
jitter_event_60m_20v_count,329,20,dec_2016
jitter_event_120m_15v_count,224,20,dec_2016
jitter_event_120m_20v_count,163,20,dec_2016
jitter_event_180m_15v_count,151,20,dec_2016
jitter_event_180m_20v_count,110,20,dec_2016
jitter_event_60m_15v_count,285,31,may_2017
jitter_event_60m_20v_count,40,31,may_2017
jitter_event_120m_15v_count,147,31,may_2017
jitter_event_120m_20v_count,19,31,may_2017
jitter_event_180m_15v_count,97,31,may_2017
jitter_event_180m_20v_count,13,31,may_2017
jitter_event_60m_15v_count,4,30,june_2017
jitter_event_60m_20v_count,3,30,june_2017
jitter_event_120m_15v_count,2,30,june_2017
jitter_event_120m_20v_count,2,30,june_2017
jitter_event_180m_15v_count,1,30,june_2017
jitter_event_180m_20v_count,1,30,june_2017
jitter_event_60m_15v_count,1,31,july_2017
jitter_event_60m_20v_count,1,31,july_2017
jitter_event_120m_15v_count,0,31,july_2017
jitter_event_120m_20v_count,0,31,july_2017
jitter_event_180m_15v_count,0,31,july_2017
jitter_event_180m_20v_count,0,31,july_2017
jitter_event_60m_15v_count,0,31,aug_2017
jitter_event_60m_20v_count,0,31,aug_2017
jitter_event_120m_15v_count,1,31,aug_2017
jitter_event_120m_20v_count,1,31,aug_2017
jitter_event_180m_15v_count,0,31,aug_2017
jitter_event_180m_20v_count,0,31,aug_2017
jitter_event_60m_15v_count,1,30,sept_2017
jitter_event_60m_20v_count,0,30,sept_2017
jitter_event_120m_15v_count,1,30,sept_2017
jitter_event_120m_20v_count,1,30,sept_2017
jitter_event_180m_15v_count,0,30,sept_2017
jitter_event_180m_20v_count,0,30,sept_2017
