"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"13",4.22195,0,0.281387,0.169064318948132,76,0.771237,0.252447,0.298776539473684,0.185522,0.0426229,0.140792,0.0809506142857143,7,0.185522,0.140792,0.147858714285714,4,4,0,NA,NA,NA,NA,NA,19,16.5,18.5,18.430737704918,20.91,20.8725,20.9025,20.9029343434343,106.3,102.516,104.1245,104.266621296296,"19","1","4","1","1","1","10","1","1","1","7","1","0","0",2016-07-12
"14",4.22195,0,0.325907,0.18701124452276,77,4.22195,0.301274,0.397975818181818,0.221609,0.0538652,0.131341,0.085272047,5,0.221609,0.131341,0.1543576,4,4,0,NA,NA,NA,NA,NA,29,0,19,18.6739299610895,24.225,19.9525,20.9025,20.9058344477133,107.147,94.6581,103.989,104.330966527585,"19","1","4","1","3","1","10","1","2","1","6","1","2","1",2016-07-13
"15",0.779952,0,0.252447,0.149252839714872,47,0.512486,0.240698,0.274601255319149,0.132342,0.0532496,0.127976,0.08000244,4,0.132342,0.127976,0.127209,4,4,0,NA,NA,NA,NA,NA,22,15,18.5,18.4685114503817,21.0325,20.8925,20.905,20.904596544071,107.279,102.808,104.8065,104.941561921296,"12","1","11","1","0","0","6","1","0","0","4","1","0","0",2016-07-14
"16",0.591224,0.0761155,0.228347,0.15261052089587,57,0.591224,0.228347,0.241474789473684,0.147784,0.0480414,0.133944,0.08374618,2,0.147784,0.133944,0.133944,4,4,0,NA,NA,NA,NA,NA,19.5,18,18.5,18.4166666666667,20.915,20.895,20.9025,20.9033567106711,106.412,102.991,104,104.387358564815,"14","1","10","1","0","0","7","1","0","0","5","1","0","0",2016-07-15
"17",1.00018,0.0439453,0.228347,0.151542316597934,63,1.00018,0.224078,0.244419984126984,21.2765,0.0383902,0.129508,0.553729455555556,9,21.2765,0.129508,2.49607455555556,4,4,0,NA,NA,NA,NA,NA,20,9,18.5,18.4126646010844,20.915,13.1225,20.9025,20.9003162550067,106.094,103.299,104.112,104.437515740741,"16","1","9","1","0","0","8","1","0","0","6","1","0","0",2016-07-16
"18",10.739,0.0439453,0.228347,0.150104095728897,52,10.739,0.224078,0.436226596153846,1.75907,0.0403989,0.129164,0.129431843333333,6,1.75907,0.129164,0.398971166666667,4,4,0,1,NA,NA,NA,NA,33.5,14.5,18.5,18.4073987901349,21.0375,20.77,20.9025,20.9020010729614,105.727,101.746,103.434,103.770309606481,"13","1","11","1","0","0","7","1","0","0","5","1","0","0",2016-07-17
"19",1.96971,0.0761155,0.270897,0.189571630511065,91,1.96971,0.248592,0.305815637362637,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,19,18,18.5,18.5141242937853,20.91,20.8925,20.9,20.901212182604,105.518,102.354,103.711,103.894638657407,"24","1","1","1","5","1","12","1","3","1","8","1","2","1",2016-07-18
"20",1.97461,0.0761155,0.263672,0.200699224106824,95,1.97461,0.256243,0.310272231578947,0.14135,0.0464716,0.128264,0.08160544,5,0.14135,0.128264,0.1311958,4,4,0,1,NA,NA,NA,NA,19,0,18.5,18.5382416011437,20.91,0.34,20.9,20.894553489087,105.944,102.01,103.655,103.967318518519,"23","1","0","0","6","1","12","1","3","1","8","1","3","1",2016-07-19
"21",3.47974,0,0.281387,0.196328542077879,64,3.47974,0.2581135,0.369825515625,0.124947,0.0446257,0.123631,0.07216706,3,0.124947,0.123631,0.123234333333333,4,4,0,4,NA,NA,NA,NA,20.5,0,18.5,18.3871915393655,24.45,0,20.9,19.6155194354466,105.903,89.1252,102.973,99.8778707407407,"17","1","2","1","5","1","9","1","2","1","6","1","2","1",2016-07-20
"22",0.774984,0.0761155,0.263672,0.184844025256284,93,0.774984,0.252447,0.28789976344086,0.377947,0.0473153,0.1298865,0.08061869,12,0.377947,0.1298865,0.149397,4,4,0,NA,NA,NA,NA,NA,19,3.5,18.5,18.5515610217597,24.01,20.895,20.905,20.9036868938075,106.192,102.259,103.9975,104.140010416667,"24","1","0","0","5","1","12","1","3","1","8","1","2","1",2016-07-21
"23",0.525509,0.0621481,0.294794,0.190891786074054,90,0.525509,0.259984,0.302608966666667,0.139495,0.0467545,0.1279785,0.096813680952381,14,0.139495,0.1279785,0.129307571428571,4,4,0,NA,NA,NA,NA,NA,19,17.5,18.5,18.5266940451745,20.9125,20.865,20.9025,20.9028096362122,106.987,102.105,103.8765,104.247510069444,"22","1","0","0","5","1","12","1","3","1","8","1","2","1",2016-07-22
"24",3.95166,0,0.274438,0.168611090576905,78,3.95166,0.2654905,0.321397115384615,0.149161,0.0508099,0.125451,0.09541741125,16,0.149161,0.125451,0.1285666875,4,4,0,NA,NA,NA,NA,NA,28,17.5,18.5,18.5220318237454,20.915,19.6825,20.905,20.9038169147925,107.406,101.957,104.552,104.862197916667,"20","1","3","1","3","1","10","1","2","1","7","1","1","1",2016-07-23
"25",2.63452,0,0.254345,0.160977742260844,84,2.63452,0.240698,0.292246833333333,1.96208,0.0250948,0.129877,0.107595033103448,29,1.96208,0.129877,0.193509965517241,4,4,0,NA,NA,NA,NA,NA,19.5,18,18.5,18.5732860520095,20.9175,20.895,20.9025,20.9040363321799,108.974,102.756,104.65,104.969384259259,"23","1","2","1","0","0","12","1","0","0","8","1","0","0",2016-07-24
"26",2.68102,0.0761155,0.248592,0.162226440224868,83,2.68102,0.232537,0.270042903614458,0.142511,0.0421953,0.126049,0.0942919090625,16,0.142511,0.126049,0.1267415,4,4,0,NA,NA,NA,NA,NA,29,18,18.5,18.5724029380902,20.9125,19.45,20.905,20.9041265060241,106.595,103.081,104.064,104.591777662037,"22","1","1","1","0","0","11","1","0","0","8","1","0","0",2016-07-25
"27",0.610508,0,0.248592,0.160578939163754,69,0.610508,0.236653,0.26829731884058,0.169629,0.0384332,0.125142,0.0922077123076923,13,0.169629,0.125142,0.127935846153846,4,4,0,1,NA,NA,NA,NA,19.5,0,19,18.7034574468085,20.925,0.0175,20.905,20.739577594123,107.559,98.0187,104.4325,104.910764560185,"17","1","4","1","1","1","9","1","0","0","7","1","0","0",2016-07-26
"28",0.499123,0,0.236653,0.155637111845409,62,0.477368,0.232537,0.252976322580645,0.169939,0.026172,0.126329,0.0934089977777778,18,0.169939,0.126329,0.132595555555556,4,4,0,NA,NA,NA,NA,NA,34,7.5,18.5,18.4451003541913,20.9225,19.0675,20.905,20.9055490618271,107.399,103.358,105.0945,105.322078240741,"16","1","8","1","0","0","8","1","0","0","6","1","0","0",2016-07-27
"29",3.59976,0.0878906,0.248592,0.163404759759002,75,3.59976,0.236653,0.309998293333333,0.143824,0.0320219,0.131914,0.0856460454545454,11,0.143824,0.131914,0.132412363636364,4,4,0,NA,NA,NA,NA,NA,23,18,18.5,18.5403543307087,21.08,20.895,20.9075,20.9065147198481,107.042,103.393,104.747,105.013746296296,"19","1","6","1","0","0","9","1","0","0","6","1","0","0",2016-07-28
"30",0.456693,0.0761155,0.236653,0.158753713961429,79,0.456693,0.228347,0.240611341772152,0.130381,0.0245636,0.1228485,0.073629885,4,0.130381,0.1228485,0.1244815,4,4,0,NA,NA,NA,NA,NA,26,18,18.5,18.4375384615385,20.915,19.44,20.905,20.9052213659716,106.914,103.401,104.696,104.972640393519,"20","1","4","1","0","0","10","1","0","0","7","1","0","0",2016-07-29
"31",5.29664,0,0.248592,0.164883747437488,95,5.29664,0.236653,0.292967073684211,0.336563,0.0250948,0.124961,0.0799070666666667,9,0.336563,0.124961,0.149999666666667,4,4,0,NA,NA,NA,NA,NA,33.5,18,18.5,18.4910387710315,20.9675,20.8975,20.9025,20.9034156166081,106.248,103.786,104.437,104.727459143519,"23","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-07-31
