"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"57028",1496684930,0.0439453,93993708,0,0,2017-06-05 17:48:50,"li22_31",0.124296,0.0439453,0.0761155,0.0739903104448743,3599,0.15,60,"june_2017"
"57545",1496688539,0.0439453,481191012,0,0,2017-06-05 18:48:59,"li22_31",0.116268,0.0439453,0.0621481,0.067061157826087,3600,0.15,60,"june_2017"
"58005",1496692143,0.0621481,869180508,0,0,2017-06-05 19:49:03,"li22_31",0.0982647,0.0439453,0.0621481,0.0674350535031847,3600,0.15,60,"june_2017"
"58964",1496699342,0.0621481,657952705,0,0,2017-06-05 21:49:02,"li22_31",0.116268,0.0439453,0.0761155,0.0710199477223427,3600,0.15,60,"june_2017"
"59425",1496702947,0.0439453,44669592,0,0,2017-06-05 22:49:07,"li22_31",0.138967,0.0439453,0.0761155,0.0696247582441114,3599,0.15,60,"june_2017"
"59962",1496707076,0.0439453,318230029,0,0,2017-06-05 23:57:56,"li22_31",0.124296,0.0439453,0.0761155,0.0754098299603175,3599,0.15,60,"june_2017"
"60466",1496710680,0.0878906,685423679,0,0,2017-06-06 00:58:00,"li22_31",0.116268,0.0439453,0.0761155,0.0792836458413926,3600,0.15,60,"june_2017"
"61365",1496716779,0.107644,616633132,0,0,2017-06-06 02:39:39,"li22_31",0.14575,0.0439453,0.0982647,0.0937595083760684,3599,0.15,60,"june_2017"
"63760",1496731517,0.0878906,63419456,0,0,2017-06-06 06:45:17,"li22_31",0.131836,0.0439453,0.0878906,0.0907549901960784,3599,0.15,60,"june_2017"
"64573",1496736791,0.0621481,139457570,0,0,2017-06-06 08:13:11,"li22_31",0.138967,0.0439453,0.0878906,0.0847027238938053,3584,0.15,60,"june_2017"
"65386",1496741940,0.0761155,305253235,0,0,2017-06-06 09:39:00,"li22_31",0.124296,0.0439453,0.0878906,0.0839482140350877,3599,0.15,60,"june_2017"
"66859",1496751573,0.0761155,527140255,0,0,2017-06-06 12:19:33,"li22_31",0.124296,0.0439453,0.0878906,0.0844166525846702,3599,0.15,60,"june_2017"
"67420",1496755187,0.0982647,914883335,0,0,2017-06-06 13:19:47,"li22_31",0.138967,0.0439453,0.0878906,0.082534219109462,3600,0.15,60,"june_2017"
"67959",1496758792,0.0878906,272945971,0,0,2017-06-06 14:19:52,"li22_31",0.131836,0.0439453,0.0761155,0.0797858434701492,3594,0.15,60,"june_2017"
"68495",1496762396,0.107644,639343802,0,0,2017-06-06 15:19:56,"li22_31",0.131836,0.0439453,0.0761155,0.0801066418994413,3595,0.15,60,"june_2017"
"69032",1496766006,0.0761155,28752254,0,0,2017-06-06 16:20:06,"li22_31",0.138967,0.0439453,0.0761155,0.0816798499102334,3599,0.15,60,"june_2017"
"70420",1496775474,0.0761155,456631121,0,0,2017-06-06 18:57:54,"li22_31",0.116268,0.0439453,0.0621481,0.0677336511482255,3599,0.15,60,"june_2017"
"70899",1496779079,0.0878906,490059285,0,0,2017-06-06 19:57:59,"li22_31",0.107644,0,0.0621481,0.0644852647855531,3589,0.15,60,"june_2017"
"71810",1496786462,0.0439453,627487525,0,0,2017-06-06 22:01:02,"li22_31",0.107644,0.0439453,0.0621481,0.0664810293103448,3600,0.15,60,"june_2017"
"72274",1496790067,0.0621481,505204839,0,0,2017-06-06 23:01:07,"li22_31",0.138967,0.0439453,0.0621481,0.0689370658436214,3599,0.15,60,"june_2017"
"72760",1496793676,0.0621481,402119202,0,0,2017-06-07 00:01:16,"li22_31",0.107644,0.0439453,0.0621481,0.0684600587982833,3599,0.15,60,"june_2017"
"73871",1496802179,0.0621481,940657744,0,0,2017-06-07 02:22:59,"li22_31",0.14575,0,0.0761155,0.0741426251141552,3165,0.15,60,"june_2017"
"74935",1496820011,0.107644,763629392,0,0,2017-06-07 07:20:11,"li22_31",0.14575,0.0621481,0.0982647,0.101035944041451,3600,0.15,60,"june_2017"
"75913",1496826000,0.0982647,862534297,0,0,2017-06-07 09:00:00,"li22_31",0.131836,0.0439453,0.0878906,0.0870939175958188,3600,0.15,60,"june_2017"
"78943",1496844367,0.0982647,532628472,0,0,2017-06-07 14:06:07,"li22_31",0.14575,0.0621481,0.0982647,0.0998393808403361,3599,0.15,60,"june_2017"
"80107",1496851576,0.124296,268342968,0,0,2017-06-07 16:06:16,"li22_31",0.14575,0.0621481,0.0982647,0.099609769363167,3599,0.15,60,"june_2017"
"80688",1496855190,0.0761155,661095581,0,0,2017-06-07 17:06:30,"li22_31",0.138967,0.0439453,0.0982647,0.0974839864686469,3600,0.15,60,"june_2017"
"81294",1496858795,0.0878906,46344970,0,0,2017-06-07 18:06:35,"li22_31",0.14575,0.0621481,0.0982647,0.0968959196969697,3599,0.15,60,"june_2017"
"81888",1496862399,0.107644,440952523,0,0,2017-06-07 19:06:39,"li22_31",0.14575,0.0439453,0.0982647,0.0932625298401421,3599,0.15,60,"june_2017"
"83512",1496873222,0.0761155,581869113,0,0,2017-06-07 22:07:02,"li22_31",0.138967,0.0439453,0.0761155,0.0806123021113244,3599,0.15,60,"june_2017"
"84033",1496876831,0.0878906,958422358,0,0,2017-06-07 23:07:11,"li22_31",0.14575,0,0.0878906,0.0889932865008881,3595,0.15,60,"june_2017"
"84596",1496880436,0.0621481,338296957,0,0,2017-06-08 00:07:16,"li22_31",0.14575,0.0439453,0.0878906,0.0934249741319444,3599,0.15,60,"june_2017"
"93221",1496932637,0.116268,391784691,0,0,2017-06-08 14:37:17,"li22_31",0.14575,0.0439453,0.0982647,0.100622298993289,3594,0.15,60,"june_2017"
"95017",1496943590,0.107644,524894685,0,0,2017-06-08 17:39:50,"li22_31",0.14575,0.0621481,0.0982647,0.099933941285956,3599,0.15,60,"june_2017"
"97960",1496961602,0.116268,427209903,0,0,2017-06-08 22:40:02,"li22_31",0.138967,0.0621481,0.0982647,0.0970698889084507,3599,0.15,60,"june_2017"
"98881",1496967456,0.0878906,452063372,0,0,2017-06-09 00:17:36,"li22_31",0.14575,0.0439453,0.0982647,0.0966681693086003,3599,0.15,60,"june_2017"
"100057",1496974680,0.0878906,339910192,0,0,2017-06-09 02:18:00,"li22_31",0.14575,0.0621481,0.0982647,0.0985399322033898,3599,0.15,60,"june_2017"
"101010",1496980439,0.107644,372700146,0,0,2017-06-09 03:53:59,"li22_31",0.14575,0.0439453,0.0982647,0.0977963029824561,3594,0.15,60,"june_2017"
"101580",1496984048,0.116268,819236470,0,0,2017-06-09 04:54:08,"li22_31",0.14575,0.0621481,0.0982647,0.100372129124579,3600,0.15,60,"june_2017"
"103255",1496994407,0.0621481,306605666,0,0,2017-06-09 07:46:47,"li22_31",0.14575,0.0439453,0.0982647,0.0936987067826087,3599,0.15,60,"june_2017"
"104245",1497000502,0.0761155,470198725,0,0,2017-06-09 09:28:22,"li22_31",0.14575,0.0621481,0.0982647,0.0985009197324415,3599,0.15,60,"june_2017"
"105150",1497006031,0.116268,767938,0,0,2017-06-09 11:00:31,"li22_31",0.14575,0.0439453,0.0982647,0.0948585798646362,3594,0.15,60,"june_2017"
"105741",1497009635,0.116268,418117619,0,0,2017-06-09 12:00:35,"li22_31",0.138967,0.0621481,0.0982647,0.0955174219378428,3600,0.15,60,"june_2017"
"106288",1497013240,0.0982647,214162604,0,0,2017-06-09 13:00:40,"li22_31",0.14575,0.0439453,0.0878906,0.092046944982699,3599,0.15,60,"june_2017"
"107232",1497019130,0.0761155,311385755,0,0,2017-06-09 14:38:50,"li22_31",0.138967,0.0621481,0.0982647,0.0949809123728814,3598,0.15,60,"june_2017"
"107822",1497022733,0.116268,975854548,0,0,2017-06-09 15:38:53,"li22_31",0.14575,0.0439453,0.0982647,0.0969789213445378,3600,0.15,60,"june_2017"
"109619",1497033567,0.107644,288951345,0,0,2017-06-09 18:39:27,"li22_31",0.131836,0.0439453,0.0761155,0.0784025775280899,3600,0.15,60,"june_2017"
"110153",1497037172,0.0761155,487393943,0,0,2017-06-09 19:39:32,"li22_31",0.116268,0.0439453,0.0761155,0.0808490717601547,3594,0.15,60,"june_2017"
"110903",1497042361,0,823508041,0,0,2017-06-09 21:06:01,"li22_31",0,0,0,0,0,0.15,60,"june_2017"
"110904",1497113893,0,511591171,0,0,2017-06-10 16:58:13,"li22_31",0,0,0,0,0,0.15,60,"june_2017"
"112117",1497293117,0.0878906,78516516,0,0,2017-06-12 18:45:17,"li22_31",0.138967,0.0439453,0.0982647,0.100764007692308,3599,0.15,60,"june_2017"
"112702",1497296721,0.124296,505097474,0,0,2017-06-12 19:45:21,"li22_31",0.124296,0.0439453,0.0761155,0.0765470082452431,3599,0.15,60,"june_2017"
"113808",1497305025,0.0621481,45600322,0,0,2017-06-12 22:03:45,"li22_31",0.131836,0.0439453,0.0621481,0.0690374050505051,3599,0.15,60,"june_2017"
"114303",1497308634,0.0761155,403982447,0,0,2017-06-12 23:03:54,"li22_31",0.116268,0.0439453,0.0761155,0.0721342629258517,3589,0.15,60,"june_2017"
"115481",1497317103,0.0982647,41211548,0,0,2017-06-13 01:25:03,"li22_31",0.138967,0.0439453,0.0761155,0.0717684236790607,3594,0.15,60,"june_2017"
"115992",1497320712,0.0621481,422386384,0,0,2017-06-13 02:25:12,"li22_31",0.131836,0,0.0761155,0.0747435808349146,3599,0.15,60,"june_2017"
"116796",1497326101,0.107644,574464031,0,0,2017-06-13 03:55:01,"li22_31",0.14575,0,0.0982647,0.0981812976470588,3600,0.15,60,"june_2017"
"118388",1497335800,0.0761155,185353300,0,0,2017-06-13 06:36:40,"li22_31",0.14575,0.0621481,0.0982647,0.0979779867671692,3594,0.15,60,"june_2017"
"125755",1497386222,0.0761155,538088168,0,0,2017-06-13 20:37:02,"li22_31",0.107644,0.0439453,0.0621481,0.0669277712184874,3589,0.15,60,"june_2017"
"126231",1497389826,0.0761155,977663922,0,0,2017-06-13 21:37:06,"li22_31",0.124296,0,0.0621481,0.0651090717062635,3600,0.15,60,"june_2017"
"126694",1497393431,0.0621481,400162407,0,0,2017-06-13 22:37:11,"li22_31",0.116268,0,0.0621481,0.0662011417391304,3599,0.15,60,"june_2017"
"127154",1497397045,0.0761155,911487135,0,0,2017-06-13 23:37:25,"li22_31",0.116268,0.0439453,0.0621481,0.0666470151578947,3595,0.15,60,"june_2017"
"127664",1497400890,0.0761155,759492096,0,0,2017-06-14 00:41:30,"li22_31",0.124296,0.0439453,0.0621481,0.0675651899383984,3599,0.15,60,"june_2017"
"128151",1497404499,0.0621481,773017314,0,0,2017-06-14 01:41:39,"li22_31",0.131836,0.0439453,0.0621481,0.0674562557411273,3590,0.15,60,"june_2017"
