"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"261044",1494969809,0.219727,988982420,0,0,2017-05-16 21:23:29,"li28_31",21,16,2017,1.0212,0,0.0439453,0.0586903623255814,2170
"261066",1494972204,0.0439453,562124535,0,0,2017-05-16 22:03:24,"li28_31",22,16,2017,0.0621481,0,0.0439453,0.0300332152091255,3564
"261092",1494975733,0,913276646,0,0,2017-05-16 23:02:13,"li28_31",23,16,2017,0.0621481,0,0.0439453,0.0270195861111111,3555
"261861",1495054999,0.0621481,976133925,0,0,2017-05-17 21:03:19,"li28_31",21,17,2017,0.0878906,0,0.0439453,0.0370190358778626,3559
"261887",1495058509,0,369767135,0,0,2017-05-17 22:01:49,"li28_31",22,17,2017,0.0621481,0,0.0439453,0.0326612128888889,3554
"261909",1495062023,0.0439453,762657236,0,0,2017-05-17 23:00:23,"li28_31",23,17,2017,0.0761155,0,0.0439453,0.0327185245847176,3555
"261117",1494979253,0.0439453,279143426,0,0,2017-05-17 00:00:53,"li28_31",0,17,2017,0.0621481,0,0.0439453,0.025992424137931,3569
"261146",1494982837,0,631863786,0,0,2017-05-17 01:00:37,"li28_31",1,17,2017,0.0761155,0,0.0439453,0.0261132022364217,3589
"261177",1494986406,0.0439453,981746757,0,0,2017-05-17 02:00:06,"li28_31",2,17,2017,0.0761155,0,0.0439453,0.0254119715542522,3590
"261211",1494990006,0,325188807,0,0,2017-05-17 03:00:06,"li28_31",3,17,2017,0.0878906,0,0.0439453,0.024419659929078,3589
"261240",1494993660,0,654931062,0,0,2017-05-17 04:01:00,"li28_31",4,17,2017,0.0621481,0,0.0439453,0.0226227370106762,3585
"261268",1494997274,0,995288313,0,0,2017-05-17 05:01:14,"li28_31",5,17,2017,0.0621481,0,0.0439453,0.0221874919786096,3599
"261305",1495000829,0,335932049,0,0,2017-05-17 06:00:29,"li28_31",6,17,2017,0.362382,0,0.0439453,0.0281918446685879,3584
"261340",1495004438,0.0761155,681004037,0,0,2017-05-17 07:00:38,"li28_31",7,17,2017,1.32421,0,0.0439453,0.0477603446153846,3590
"261372",1495008023,0,9278593,0,0,2017-05-17 08:00:23,"li28_31",8,17,2017,0.116268,0,0.0439453,0.0261387625,3549
"261396",1495011687,0.0761155,847787275,0,0,2017-05-17 09:01:27,"li28_31",9,17,2017,0.0878906,0,0.0621481,0.0554356096952909,3510
"261432",1495015337,0.0621481,168222934,0,0,2017-05-17 10:02:17,"li28_31",10,17,2017,0.0621481,0,0.0439453,0.0409537,3469
"261450",1495018911,0,500725159,0,0,2017-05-17 11:01:51,"li28_31",11,17,2017,0.107644,0,0.0439453,0.0428051331564987,3589
"261488",1495022450,0.0621481,851897493,0,0,2017-05-17 12:00:50,"li28_31",12,17,2017,0.201383,0,0.0878906,0.0958127325900515,3595
"261546",1495026035,0.107644,186718448,0,0,2017-05-17 13:00:35,"li28_31",13,17,2017,0.362382,0.0761155,0.236653,0.229250401589595,3594
"261615",1495029624,0.236653,525047523,0,0,2017-05-17 14:00:24,"li28_31",14,17,2017,0.351562,0,0.124296,0.146100170402802,3589
"261672",1495033258,0.0439453,861480243,0,0,2017-05-17 15:00:58,"li28_31",15,17,2017,0.124296,0,0.0621481,0.0518335498507463,3540
"261706",1495036913,0.0439453,207050103,0,0,2017-05-17 16:01:53,"li28_31",16,17,2017,0.0761155,0,0.0439453,0.0342889555555556,3554
"261738",1495040447,0.0761155,564336790,0,0,2017-05-17 17:00:47,"li28_31",17,17,2017,0.0878906,0,0.0439453,0.0399130496503496,3579
"261767",1495044171,0,897866442,0,0,2017-05-17 18:02:51,"li28_31",18,17,2017,0.0878906,0,0.0439453,0.0288689105769231,3490
"261798",1495047646,0,277656668,0,0,2017-05-17 19:00:46,"li28_31",19,17,2017,0.0878906,0,0.0439453,0.0307395833922261,3594
"261826",1495051245,0.0439453,657635922,0,0,2017-05-17 20:00:45,"li28_31",20,17,2017,0.116268,0,0.0439453,0.0329135203488372,3550
