"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1474",1443762004,0.224078,119443692,0,0,2015-10-02 05:00:04,"li28_31",5,2,2015,0.445996,0.158447,0.256243,0.257274505007153,3594
"1544",1443765608,0.232537,484896721,0,0,2015-10-02 06:00:08,"li28_31",6,2,2015,0.378032,0.170199,0.267309,0.268967022630834,3594
"2997",1443855603,0.284798,395808975,0,0,2015-10-03 07:00:03,"li28_31",7,3,2015,0.395508,0.0878906,0.270897,0.272627972285714,3594
"3067",1443859202,0.340399,765275163,0,0,2015-10-03 08:00:02,"li28_31",8,3,2015,0.390594,0.175781,0.267309,0.270247073968706,3595
"3138",1443862837,0.248592,110749381,0,0,2015-10-03 09:00:37,"li28_31",9,3,2015,0.388114,0.158447,0.259984,0.261085964131994,3594
"3207",1443866401,0.228347,489901194,0,0,2015-10-03 10:00:01,"li28_31",10,3,2015,0.378032,0.152231,0.263672,0.262927882689557,3594
"3277",1443870005,0.215287,875574916,0,0,2015-10-03 11:00:05,"li28_31",11,3,2015,0.397942,0.164428,0.267309,0.270154407246377,3595
"3469",1443873610,0.301274,221478395,0,0,2015-10-03 12:00:10,"li28_31",12,3,2015,0.409895,0.158447,0.274438,0.27421599137931,3594
"3539",1443877229,0.313832,591564067,0,0,2015-10-03 13:00:29,"li28_31",13,3,2015,0.529172,0.14575,0.267309,0.269941776836158,3594
"3856",1443880838,0.294794,952982016,0,0,2015-10-03 14:00:38,"li28_31",14,3,2015,0.471261,0.170199,0.274438,0.278974442553191,3595
"3926",1443884413,0.210754,309476512,0,0,2015-10-03 15:00:13,"li28_31",15,3,2015,0.439453,0.158447,0.270897,0.270911837606838,3594
"3996",1443888002,0.284798,676782385,0,0,2015-10-03 16:00:02,"li28_31",16,3,2015,0.471261,0,0.304462,0.30654378125,3595
"4313",1443891637,0.435036,13934276,0,0,2015-10-03 17:00:37,"li28_31",17,3,2015,0.63531,0.201383,0.33178,0.330625213483146,3594
"4384",1443895221,0.334678,387914352,0,0,2015-10-03 18:00:21,"li28_31",18,3,2015,0.566196,0.138967,0.307617,0.310244284299859,3594
"4578",1443898840,0.37029,818752297,0,0,2015-10-03 19:00:40,"li28_31",19,3,2015,0.545347,0.196529,0.325907,0.325757176304654,3595
"4649",1443902440,0.301274,322729565,0,0,2015-10-03 20:00:40,"li28_31",20,3,2015,0.543573,0.206122,0.334678,0.336405901287554,3599
"4842",1443906054,0.316894,685219341,0,0,2015-10-03 21:00:54,"li28_31",21,3,2015,0.432811,0.191553,0.313832,0.313782882602546,3595
"4912",1443909619,0.263672,70841969,0,0,2015-10-03 22:00:19,"li28_31",22,3,2015,0.462993,0.196529,0.298052,0.296102734104046,3589
"5227",1443913203,0.304462,483355604,0,0,2015-10-03 23:00:03,"li28_31",23,3,2015,0.471261,0,0.2915,0.291839022889843,3594
"2506",1443830407,0.313832,707385164,0,0,2015-10-03 00:00:07,"li28_31",0,3,2015,0.518108,0.170199,0.293147,0.293185663817664,3595
"2577",1443834047,0.334678,943726964,0,0,2015-10-03 01:00:47,"li28_31",1,3,2015,0.456693,0.164428,0.2915,0.294497521861777,3594
"2647",1443837601,0.2915,532462114,0,0,2015-10-03 02:00:01,"li28_31",2,3,2015,0.407532,0.175781,0.284798,0.283729623209169,3594
"2717",1443841210,0.298052,900329549,0,0,2015-10-03 03:00:10,"li28_31",3,3,2015,0.412244,0.164428,0.284798,0.284013374639769,3595
"2787",1443844840,0.274438,244499843,0,0,2015-10-03 04:00:40,"li28_31",4,3,2015,0.409895,0.175781,0.281387,0.28030782651622,3599
"2858",1443848449,0.316894,638035576,0,0,2015-10-03 05:00:49,"li28_31",5,3,2015,0.448156,0.14575,0.277935,0.276666025751073,3595
"2927",1443852004,0.248592,27022528,0,0,2015-10-03 06:00:04,"li28_31",6,3,2015,0.367673,0.164428,0.263672,0.261914015714286,3595
"6771",1443942004,0.210754,197960267,0,0,2015-10-04 07:00:04,"li28_31",7,4,2015,0.390594,0.138967,0.281387,0.280235230113636,3594
"6842",1443945633,0.294794,555744890,0,0,2015-10-04 08:00:33,"li28_31",8,4,2015,0.423793,0.170199,0.281387,0.281333561253561,3595
"7035",1443949222,0.274438,939885836,0,0,2015-10-04 09:00:22,"li28_31",9,4,2015,0.518108,0.170199,0.263672,0.26599031133429,3595
"7105",1443952837,0.236653,297828382,0,0,2015-10-04 10:00:37,"li28_31",10,4,2015,0.359708,0.152231,0.256243,0.258923089361702,3595
"7298",1443956411,0.346026,628541419,0,0,2015-10-04 11:00:11,"li28_31",11,4,2015,0.365037,0.14575,0.256243,0.258869625356125,3594
"7368",1443960001,0.228347,19392082,0,0,2015-10-04 12:00:01,"li28_31",12,4,2015,0.385619,0.14575,0.256243,0.259623606321839,3589
"7561",1443963620,0.244677,340184676,0,0,2015-10-04 13:00:20,"li28_31",13,4,2015,0.385619,0.152231,0.259984,0.262567603174603,3599
"7876",1443967209,0.259984,694077324,0,0,2015-10-04 14:00:09,"li28_31",14,4,2015,0.380578,0.158447,0.263672,0.264392444602273,3595
"7947",1443970849,0.252447,71504210,0,0,2015-10-04 15:00:49,"li28_31",15,4,2015,0.419212,0.158447,0.274438,0.276216744318182,3594
"8140",1443974419,0.267309,3104609,0,0,2015-10-04 16:00:19,"li28_31",16,4,2015,0.441645,0.175781,0.298052,0.296733941678521,3594
"8210",1443978002,0.316894,838147495,0,0,2015-10-04 17:00:02,"li28_31",17,4,2015,0.512486,0.186444,0.328857,0.329805328169014,3595
"8527",1443981602,0.2915,204391648,0,0,2015-10-04 18:00:02,"li28_31",18,4,2015,0.809119,0.210754,0.334678,0.344010722772277,3594
"8598",1443985216,0.340399,570724837,0,0,2015-10-04 19:00:16,"li28_31",19,4,2015,0.727424,0.206122,0.33178,0.337879797163121,3594
"8792",1443988840,0.270897,911476333,0,0,2015-10-04 20:00:40,"li28_31",20,4,2015,0.485392,0.175781,0.322931,0.323047143262411,3594
