"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","hour_data","day_data","year_data","max_value","min_value","median_value","average_value","event_duration_seconds"
"1",1446249616,0.196529,264520290,0,0,2015-10-31 00:00:16,"li28_31",0,31,2015,0.409895,0.131836,0.232537,0.239910208273894,3594
"71",1446253210,0.219727,650028647,0,0,2015-10-31 01:00:10,"li28_31",1,31,2015,0.475341,0.124296,0.219727,0.227574141630901,3595
"141",1446256815,0.2915,19978504,0,0,2015-10-31 02:00:15,"li28_31",2,31,2015,0.636828,0.107644,0.224078,0.239465908831909,3599
"211",1446260409,0.33178,403584359,0,0,2015-10-31 03:00:09,"li28_31",3,31,2015,0.62458,0.138967,0.325907,0.329463464033851,3594
"282",1446264013,0.219727,763204705,0,0,2015-10-31 04:00:13,"li28_31",4,31,2015,0.454574,0.138967,0.228347,0.237272164520744,3595
"352",1446267618,0.240698,679008397,0,0,2015-10-31 05:00:18,"li28_31",5,31,2015,0.426066,0.14575,0.224078,0.233328773049645,3594
"423",1446271252,0.206122,513061248,0,0,2015-10-31 06:00:52,"li28_31",6,31,2015,0.456693,0.131836,0.228347,0.234149704022989,3594
"492",1446274811,0.206122,906574178,0,0,2015-10-31 07:00:11,"li28_31",7,31,2015,3.75854,0.116268,0.232537,0.242901710826211,3595
"562",1446278401,0.252447,310532119,0,0,2015-10-31 08:00:01,"li28_31",8,31,2015,0.419212,0.107644,0.224078,0.230601496392496,3594
"632",1446282035,0.319927,679243697,0,0,2015-10-31 09:00:35,"li28_31",9,31,2015,0.441645,0.116268,0.232537,0.239046151558074,3595
"702",1446285605,0.236653,60515346,0,0,2015-10-31 10:00:05,"li28_31",10,31,2015,0.412244,0.107644,0.228347,0.232057317142857,3599
"772",1446289209,0.219727,442651113,0,0,2015-10-31 11:00:09,"li28_31",11,31,2015,0.390594,0.14575,0.236653,0.240659077142857,3594
"842",1446292808,0.219727,818826483,0,0,2015-10-31 12:00:08,"li28_31",12,31,2015,0.407532,0.131836,0.232537,0.235989867521368,3595
"913",1446296448,0.210754,192276323,0,0,2015-10-31 13:00:48,"li28_31",13,31,2015,0.419212,0.124296,0.228347,0.234349198863636,3594
"983",1446300033,0.232537,178821663,0,0,2015-10-31 14:00:33,"li28_31",14,31,2015,0.405156,0.107644,0.224078,0.230509561781609,3594
"1053",1446303656,0.191553,925573168,0,0,2015-10-31 15:00:56,"li28_31",15,31,2015,0.469208,0.14575,0.236653,0.242860213773314,3595
"1122",1446307211,0.219727,281538734,0,0,2015-10-31 16:00:11,"li28_31",16,31,2015,0.475341,0,0.248592,0.254683500707214,3594
"1193",1446310830,0.367673,649540822,0,0,2015-10-31 17:00:30,"li28_31",17,31,2015,0.477368,0.152231,0.267309,0.274881357344633,3595
"1264",1446314435,0.215287,31827290,0,0,2015-10-31 18:00:35,"li28_31",18,31,2015,0.621481,0.164428,0.294794,0.305936716927454,3599
"1334",1446318024,0.267309,435416329,0,0,2015-10-31 19:00:24,"li28_31",19,31,2015,0.523669,0,0.284798,0.291336923295455,3594
"1404",1446321603,0.2915,830688693,0,0,2015-10-31 20:00:03,"li28_31",20,31,2015,0.521822,0.138967,0.281387,0.289791429378531,3595
"1475",1446325213,0.267309,227684916,0,0,2015-10-31 21:00:13,"li28_31",21,31,2015,0.504893,0.158447,0.277935,0.286477434659091,3594
"1546",1446328842,0.256243,637579872,0,0,2015-10-31 22:00:42,"li28_31",22,31,2015,0.530993,0.14575,0.270897,0.275912163352273,3595
"1616",1446332422,0.322931,41208045,0,0,2015-10-31 23:00:22,"li28_31",23,31,2015,0.462993,0.152231,0.259984,0.264484014084507,3594
"1687",1446336021,0.206122,412825901,0,0,2015-11-01 00:00:21,"li28_31",0,1,2015,5.00398,0.152231,0.263672,0.278698558073654,3594
"1758",1446339640,0.2915,785103937,0,0,2015-11-01 01:00:40,"li28_31",1,1,2015,0.519968,0.131836,0.252447,0.25539596875,3595
"1828",1446343220,0.256243,161861652,0,0,2015-11-01 02:00:20,"li28_31",2,1,2015,0.493285,0.124296,0.240698,0.250803655172414,3599
"1898",1446346844,0.298052,551982805,0,0,2015-11-01 03:00:44,"li28_31",3,1,2015,0.477368,0.138967,0.244677,0.254243489177489,3594
"1967",1446350428,0.228347,934914955,0,0,2015-11-01 04:00:28,"li28_31",4,1,2015,0.414579,0.116268,0.240698,0.247094170731707,3595
"2037",1446354053,0.263672,406613815,0,0,2015-11-01 05:00:53,"li28_31",5,1,2015,0.407532,0.124296,0.236653,0.242478083451202,3584
"2107",1446357607,0.232537,676358984,0,0,2015-11-01 06:00:07,"li28_31",6,1,2015,0.481397,0.138967,0.248592,0.254699974248927,3595
"2177",1446361212,0.284798,58694644,0,0,2015-11-01 07:00:12,"li28_31",7,1,2015,0.475341,0.107644,0.236653,0.24402991416309,3594
"2247",1446364816,0.191553,438994376,0,0,2015-11-01 08:00:16,"li28_31",8,1,2015,0.439453,0.124296,0.236653,0.244412719197708,3594
"2317",1446368425,0.277935,827044062,0,0,2015-11-01 09:00:25,"li28_31",9,1,2015,1.78831,0,0.232537,0.242066146514936,3595
"2387",1446372010,0.196529,277620224,0,0,2015-11-01 10:00:10,"li28_31",10,1,2015,0.456693,0.138967,0.244677,0.251927174964438,3594
"2458",1446375649,0.210754,648118360,0,0,2015-11-01 11:00:49,"li28_31",11,1,2015,0.473305,0.152231,0.240698,0.251434399713467,3595
"2527",1446379209,0.236653,39730791,0,0,2015-11-01 12:00:09,"li28_31",12,1,2015,0.483398,0.131836,0.248592,0.257166785815603,3594
"2598",1446382833,0.232537,463110385,0,0,2015-11-01 13:00:33,"li28_31",13,1,2015,0.428326,0.14575,0.240698,0.251265152974504,3594
"2668",1446386402,0.236653,788405547,0,0,2015-11-01 14:00:02,"li28_31",14,1,2015,0.477368,0.124296,0.232537,0.24407540625,3595
"2739",1446390032,0.175781,176561563,0,0,2015-11-01 15:00:32,"li28_31",15,1,2015,0.559332,0.116268,0.228347,0.239191934191702,3594
"2809",1446393641,0.256243,543845185,0,0,2015-11-01 16:00:41,"li28_31",16,1,2015,0.477368,0.116268,0.244677,0.255752052556818,3595
"2879",1446397210,0.31074,905497784,0,0,2015-11-01 17:00:10,"li28_31",17,1,2015,1.69916,0.158447,0.270897,0.28129764838256,3595
"2950",1446400805,0.244677,286076412,0,0,2015-11-01 18:00:05,"li28_31",18,1,2015,0.587948,0.170199,0.281387,0.286328184813754,3599
"3020",1446404419,0.232537,657951797,0,0,2015-11-01 19:00:19,"li28_31",19,1,2015,0.541794,0.164428,0.288169,0.294649952180028,3595
"3091",1446408014,0.284798,47457581,0,0,2015-11-01 20:00:14,"li28_31",20,1,2015,0.495239,0.152231,0.279661,0.288980451704545,3594
"3162",1446411643,0.284798,450043938,0,0,2015-11-01 21:00:43,"li28_31",21,1,2015,0.514367,0.158447,0.277935,0.28614925884017,3594
"3232",1446415212,0.37029,825157852,0,0,2015-11-01 22:00:12,"li28_31",22,1,2015,0.506802,0.158447,0.274438,0.285685917482517,3590
"3304",1446418832,0.284798,233848755,0,0,2015-11-01 23:00:32,"li28_31",23,1,2015,0.508704,0,0.256243,0.264986622881356,3594
"3375",1446422441,0.256243,611651541,0,0,2015-11-02 00:00:41,"li28_31",0,2,2015,0.493285,0.131836,0.259984,0.272471921763869,3594
"3445",1446426025,0.228347,995120099,0,0,2015-11-02 01:00:25,"li28_31",1,2,2015,0.487377,0.124296,0.259984,0.267963737288136,3595
"3516",1446429635,0.33178,373322721,0,0,2015-11-02 02:00:35,"li28_31",2,2,2015,0.510598,0.107644,0.270897,0.27924278401122,3599
"3587",1446433224,0.219727,743408437,0,0,2015-11-02 03:00:24,"li28_31",3,2,2015,0.458803,0,0.267309,0.275708217275281,3595
"3658",1446436814,0.232537,109702861,0,0,2015-11-02 04:00:14,"li28_31",4,2,2015,0.502977,0.152231,0.252447,0.263521914651494,3594
"3729",1446440448,0.313832,478426873,0,0,2015-11-02 05:00:48,"li28_31",5,2,2015,0.465073,0.124296,0.252447,0.259338317211949,3594
"3799",1446444032,0.313832,863080068,0,0,2015-11-02 06:00:32,"li28_31",6,2,2015,0.479387,0.131836,0.248592,0.256228580369844,3595
"3869",1446447617,0.206122,234937282,0,0,2015-11-02 07:00:17,"li28_31",7,2,2015,0.477368,0.131836,0.240698,0.252053644285714,3594
"3939",1446451216,0.181191,603487442,0,0,2015-11-02 08:00:16,"li28_31",8,2,2015,0.521822,0.116268,0.248592,0.258482214793741,3594
"4009",1446454800,0.224078,979640621,0,0,2015-11-02 09:00:00,"li28_31",9,2,2015,0.439453,0.131836,0.248592,0.255090456737589,3595
"4080",1446458425,0.322931,362706824,0,0,2015-11-02 10:00:25,"li28_31",10,2,2015,0.43725,0.131836,0.240698,0.248951828854314,3599
"4151",1446462044,0.274438,730682669,0,0,2015-11-02 11:00:44,"li28_31",11,2,2015,0.508704,0.152231,0.263672,0.275710651558074,3595
"4221",1446465614,0.340399,121485785,0,0,2015-11-02 12:00:14,"li28_31",12,2,2015,2.96688,0,0.256243,0.267563964488636,3594
"4292",1446469248,0.383106,494860488,0,0,2015-11-02 13:00:48,"li28_31",13,2,2015,0.499123,0.138967,0.270897,0.280032237142857,3594
"4362",1446472842,0.322931,877011931,0,0,2015-11-02 14:00:42,"li28_31",14,2,2015,0.497184,0.158447,0.263672,0.276818253878702,3595
"4433",1446476447,0.322931,248710232,0,0,2015-11-02 15:00:47,"li28_31",15,2,2015,0.497184,0.131836,0.270897,0.27742766056338,3593
"4504",1446480046,0.228347,607772511,0,0,2015-11-02 16:00:46,"li28_31",16,2,2015,0.512486,0.0878906,0.267309,0.277531133804809,3594
"4574",1446483610,0.219727,979097599,0,0,2015-11-02 17:00:10,"li28_31",17,2,2015,0.532809,0.138967,0.263672,0.273170629055007,3595
"4645",1446487215,0.456693,349777057,0,0,2015-11-02 18:00:15,"li28_31",18,2,2015,0.487377,0.124296,0.263672,0.271938790368272,3599
"4716",1446490839,0.252447,719911389,0,0,2015-11-02 19:00:39,"li28_31",19,2,2015,0.98461,0,0.277935,0.286143680763791,3595
"4786",1446494404,0.263672,83207236,0,0,2015-11-02 20:00:04,"li28_31",20,2,2015,0.567899,0.158447,0.284798,0.293920686079545,3594
"4857",1446498033,0.359708,456066014,0,0,2015-11-02 21:00:33,"li28_31",21,2,2015,0.555869,0.164428,0.284798,0.295360686882934,3594
"4928",1446501637,0.423793,843745631,0,0,2015-11-02 22:00:37,"li28_31",22,2,2015,0.871182,0.14575,0.316894,0.363135641242938,3595
"4999",1446505252,0.328857,233494004,0,0,2015-11-02 23:00:52,"li28_31",23,2,2015,2.01766,0.131836,0.2915,0.302046019746121,3594
"5069",1446508801,0.378032,651834329,0,0,2015-11-03 00:00:01,"li28_31",0,3,2015,0.534618,0.124296,0.2915,0.296517909732017,3595
"5140",1446512406,0.562775,32904772,0,0,2015-11-03 01:00:06,"li28_31",1,3,2015,0.562775,0.131836,0.284798,0.292401917613636,3594
"5211",1446516035,0.304462,402981246,0,0,2015-11-03 02:00:35,"li28_31",2,3,2015,0.501054,0,0.274438,0.279805128531073,3599
"5282",1446519644,0.281387,760226736,0,0,2015-11-03 03:00:44,"li28_31",3,3,2015,0.764951,0.14575,0.351562,0.366557582278481,3595
"5353",1446523239,0.380578,125434440,0,0,2015-11-03 04:00:39,"li28_31",4,3,2015,0.534618,0.138967,0.267309,0.280400973049645,3589
"5423",1446526813,0.219727,511880606,0,0,2015-11-03 05:00:13,"li28_31",5,3,2015,0.521822,0.138967,0.267309,0.275893501424501,3594
"5493",1446530402,0.301274,889819908,0,0,2015-11-03 06:00:02,"li28_31",6,3,2015,1.51404,0.124296,0.307617,0.339347061797753,3595
"5565",1446534042,0.354298,254312520,0,0,2015-11-03 07:00:42,"li28_31",7,3,2015,0.985591,0.131836,0.274438,0.292687076379066,3594
"5635",1446537606,0.313832,624534676,0,0,2015-11-03 08:00:06,"li28_31",8,3,2015,0.485392,0.138967,0.261828,0.270270515625,3594
"5706",1446541240,0.228347,981736138,0,0,2015-11-03 09:00:40,"li28_31",9,3,2015,0.485392,0,0.263672,0.275008803394625,3595
