"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"5992",1462009729,0.152231,591793941,0,0,2016-04-30 09:48:49,"li24_61",0.158447,0.0621481,0.107644,0.110944594936709,900,0.15,15,"apr_2016"
"6154",1462010654,0.152231,419615537,0,0,2016-04-30 10:04:14,"li24_61",0.164428,0.0761155,0.116268,0.113829644217687,900,0.15,15,"apr_2016"
"6511",1462012789,0.152231,14878434,0,0,2016-04-30 10:39:49,"li24_61",0.170199,0.0761155,0.116268,0.115447068181818,899,0.15,15,"apr_2016"
"6675",1462013753,0.152231,829442119,0,0,2016-04-30 10:55:53,"li24_61",0.158447,0.0761155,0.116268,0.119163207878788,900,0.15,15,"apr_2016"
"6881",1462014873,0.152231,617165922,0,0,2016-04-30 11:14:33,"li24_61",0.164428,0.0761155,0.116268,0.116502577070064,895,0.15,15,"apr_2016"
"7061",1462015903,0.158447,428737073,0,0,2016-04-30 11:31:43,"li24_61",0.181191,0.0621481,0.116268,0.118748138271605,900,0.15,15,"apr_2016"
"7244",1462016933,0.152231,231924726,0,0,2016-04-30 11:48:53,"li24_61",0.186444,0.0621481,0.107644,0.11301601375,900,0.15,15,"apr_2016"
"7415",1462017893,0.181191,55767544,0,0,2016-04-30 12:04:53,"li24_61",1.46147,0.0621481,0.116268,0.122130105806452,899,0.15,15,"apr_2016"
"7571",1462018807,0.158447,881654335,0,0,2016-04-30 12:20:07,"li24_61",0.196529,0.0621481,0.107644,0.114116257419355,900,0.15,15,"apr_2016"
"7772",1462019982,0.164428,656378099,0,0,2016-04-30 12:39:42,"li24_61",0.175781,0.0761155,0.107644,0.112437086875,900,0.15,15,"apr_2016"
"7933",1462020892,0.158447,493316475,0,0,2016-04-30 12:54:52,"li24_61",4.82979,0.0621481,0.107644,0.143007078709677,900,0.15,15,"apr_2016"
"8186",1462022412,0.152231,208425738,0,0,2016-04-30 13:20:12,"li24_61",0.158447,0.0439453,0.107644,0.106640561111111,900,0.15,15,"apr_2016"
