"","secondspastepoch","value","nanoseconds","severity","status","timestamp","klystron","max_value","min_value","median_value","average_value","event_duration_seconds","threshold","event_duration","month"
"2",1448928007,0.158447,734324977,0,0,2015-12-01 00:00:07,"li24_61",6.34671,0.0878906,0.131836,0.214036989240506,900,0.15,15,"dec_2015"
"163",1448928932,0.152231,554458996,0,0,2015-12-01 00:15:32,"li24_61",1.71387,0.0982647,0.138967,0.148739428387097,900,0.15,15,"dec_2015"
"318",1448929837,0.164428,383837794,0,0,2015-12-01 00:30:37,"li24_61",0.186444,0.0878906,0.131836,0.136901284848485,900,0.15,15,"dec_2015"
"485",1448930752,0.170199,204560904,0,0,2015-12-01 00:45:52,"li24_61",0.33755,0.0621481,0.131836,0.135523433950617,900,0.15,15,"dec_2015"
"651",1448931677,0.152231,25941273,0,0,2015-12-01 01:01:17,"li24_61",2.9857,0.0878906,0.124296,0.158226292307692,899,0.15,15,"dec_2015"
"840",1448932777,0.152231,269181137,0,0,2015-12-01 01:19:37,"li24_61",1.56361,0.0761155,0.124296,0.130469472368421,899,0.15,15,"dec_2015"
"1122",1448934441,0.152231,492610315,0,0,2015-12-01 01:47:21,"li24_61",3.81945,0.0761155,0.124296,0.155769058219178,895,0.15,15,"dec_2015"
"1273",1448935381,0.152231,309367085,0,0,2015-12-01 02:03:01,"li24_61",0.186444,0.0878906,0.131836,0.132816100625,900,0.15,15,"dec_2015"
"1433",1448936286,0.158447,139762374,0,0,2015-12-01 02:18:06,"li24_61",1.563,0.0761155,0.124296,0.30259930754717,899,0.15,15,"dec_2015"
"1635",1448937435,0.152231,918020479,0,0,2015-12-01 02:37:15,"li24_61",7.57187,0.0621481,0.107644,0.158791200675676,900,0.15,15,"dec_2015"
"1797",1448938420,0.152231,728963256,0,0,2015-12-01 02:53:40,"li24_61",2.63489,0.0761155,0.116268,0.13408351025641,900,0.15,15,"dec_2015"
"1974",1448939455,0.152231,528232903,0,0,2015-12-01 03:10:55,"li24_61",1.90947,0.0761155,0.131836,0.143738479746835,900,0.15,15,"dec_2015"
"2145",1448940435,0.164428,339038835,0,0,2015-12-01 03:27:15,"li24_61",0.186444,0,0.124296,0.126253213939394,900,0.15,15,"dec_2015"
"2313",1448941360,0.158447,162109028,0,0,2015-12-01 03:42:40,"li24_61",0.206122,0.0761155,0.138967,0.136988821637427,899,0.15,15,"dec_2015"
"2488",1448942289,0.158447,977736655,0,0,2015-12-01 03:58:09,"li24_61",0.170199,0.0878906,0.131836,0.128353785542169,900,0.15,15,"dec_2015"
"2654",1448943194,0.158447,806435764,0,0,2015-12-01 04:13:14,"li24_61",3.94921,0.0621481,0.124296,0.180011601324503,900,0.15,15,"dec_2015"
"2808",1448944119,0.152231,627597909,0,0,2015-12-01 04:28:39,"li24_61",0.201383,0.0761155,0.131836,0.131056302424242,900,0.15,15,"dec_2015"
"2974",1448945029,0.152231,451710522,0,0,2015-12-01 04:43:49,"li24_61",0.191553,0.0878906,0.138967,0.139483124539877,900,0.15,15,"dec_2015"
"3138",1448945939,0.170199,270547494,0,0,2015-12-01 04:58:59,"li24_61",0.313832,0.0761155,0.116268,0.119525021428571,900,0.15,15,"dec_2015"
"3476",1448947898,0.152231,902474444,0,0,2015-12-01 05:31:38,"li24_61",4.37184,0.0761155,0.107644,0.139444820779221,900,0.15,15,"dec_2015"
